Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
734, 734, D, Yes, None, 350.7802, 180.7501, 356.4151
2823, 808, A, Yes, None, 346.2624, 176.6996, 359.0392
5435, 1418, H, Yes, None, 356.0154, 179.2093, 359.2574
7595, 1577, E, Yes, None, 0.2174525, 177.8306, 0.3129379
9928, 1885, D, Yes, None, 357.2763, 180.6777, 353.6409
12068, 2000, G, No, Omission, 355.1887, 175.5114, 355.9537
14074, 2000, S, No, Omission, 4.538063, 183.9871, 354.6568
15017, 943, Z, Yes, None, 2.657544, 180.1818, 355.6223
16885, 790, T, Yes, None, 1.431397, 179.8573, 355.6803
20111, 2000, X, Yes, None, 2.44504, 179.8551, 355.6199
22125, 2000, x, Yes, None, 2.631198, 178.9573, 355.646
24139, 2000, I, No, Omission, 2.372446, 138.6708, 6.749785
26140, 2000, Q, No, Omission, 353.3784, 228.3445, 355.7715
28165, 2000, Y, No, Omission, 14.73312, 174.5479, 352.5842
29499, 1334, X, No, Commission, 28.2322, 181.2326, 350.096
32196, 2000, O, No, Omission, 324.5143, 164.8696, 344.4014
34219, 2000, E, No, Omission, 340.7002, 207.0546, 356.2355
35555, 1335, I, Yes, None, 350.8796, 180.3965, 353.68
36925, 696, S, Yes, None, 346.3901, 179.7928, 359.5875
40243, 2000, x, Yes, None, 4.590289, 181.3908, 351.9638
40761, 518, B, Yes, None, 4.17312, 180.4302, 353.3951
42697, 438, T, Yes, None, 2.86103, 184.2487, 350.7149
45427, 1155, K, Yes, None, 2.216326, 184.3118, 350.3324
46765, 485, B, Yes, None, 1.732276, 184.3533, 350.1967
50303, 2000, X, Yes, None, 1.356713, 184.5265, 349.6805
51118, 814, P, Yes, None, 1.362436, 184.3833, 349.9285
54316, 2000, x, Yes, None, 1.096883, 188.1611, 348.126
54973, 656, B, Yes, None, 0.8157669, 189.3307, 350.3122
58345, 2000, A, No, Omission, 355.0863, 150.3857, 3.607087
60360, 2000, U, No, Omission, 4.203485, 187.953, 356.6761
62367, 2000, R, No, Omission, 334.7039, 211.3743, 349.3931
