Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 359.6198, 351.2754, 1.375079
0,  , 359.963, 351.314, 1.510976
0,  , 1.007989, 180, 1.516822
0,  , 0.8496388, 180.6408, 1.054582
0,  , 0.8401818, 180.9068, 0.6909797
0,  , 1.141553, 180.8724, 0.6046551
0,  , 1.556719, 180.9651, 0.6044555
0,  , 1.638761, 180.0001, 0.50301
0,  , 1.490527, 180.0258, 0.5015393
0,  , 1.843065, 180.1551, 0.4957505
0,  , 1.832418, 180.2336, 0.4045303
0,  , 1.990537, 180.124, 0.4304256
0,  , 1.633722, 180.0454, 0.5723827
0,  , 1.562532, 179.8374, 0.6399713
0,  , 1.400684, 179.5032, 0.8054909
0,  , 1.362575, 179.0984, 0.8966253
0,  , 1.536664, 178.315, 0.8260207
0,  , 1.450143, 176.2479, 0.3460007
0,  , 1.65285, 175.1727, 0.344784
0,  , 1.474087, 173.6938, 0.2238468
0,  , 1.011603, 173.3034, 0.4349756
0,  , 0.6206912, 173.0374, 0.5358199
0,  , 0.1913226, 172.9062, 0.5297685
0,  , 359.7123, 172.803, 0.8290189
0,  , 359.3019, 172.915, 1.056439
0,  , 359.0709, 172.9263, 1.243301
0,  , 358.8603, 172.8359, 1.489522
0,  , 358.7654, 173.1179, 1.630978
0,  , 358.62, 173.4449, 1.602708
0,  , 358.2416, 173.5383, 1.639512
0,  , 357.8903, 173.8256, 1.714358
0,  , 357.6281, 174.367, 1.781633
0,  , 357.4495, 175.0226, 1.855695
0,  , 357.4104, 175.504, 1.975348
0,  , 357.3924, 175.95, 2.073013
0,  , 357.4804, 176.2835, 2.306039
0,  , 357.7404, 176.5072, 2.356945
0,  , 357.6593, 176.7414, 2.422312
0,  , 357.6147, 176.8679, 2.403907
0,  , 357.7282, 177.018, 2.40436
0,  , 357.8436, 177.2237, 2.419206
0,  , 357.963, 177.4795, 2.409274
0,  , 358.1494, 177.7776, 2.234185
0,  , 358.4198, 177.9462, 2.137605
0,  , 358.7449, 177.9738, 2.052953
0,  , 358.8098, 177.9988, 2.137906
0,  , 358.798, 178.0675, 2.193908
0,  , 358.8503, 178.2072, 2.160278
0,  , 358.9566, 178.2374, 2.150959
0,  , 358.8439, 178.198, 2.198478
0,  , 358.8587, 178.287, 2.173872
0,  , 359.0615, 178.4526, 1.974395
0,  , 359.195, 178.4512, 1.945688
0,  , 359.1851, 178.5082, 2.039304
0,  , 359.1456, 178.625, 1.950369
0,  , 359.1657, 178.7078, 1.87898
0,  , 359.2861, 178.5968, 1.944294
0,  , 359.1552, 178.3642, 1.994827
0,  , 359.1787, 178.3158, 1.971723
0,  , 359.15, 178.2959, 2.050596
0,  , 359.0751, 178.2229, 2.159472
0,  , 359.002, 178.1302, 2.196018
0,  , 358.9863, 178.1301, 2.177608
0,  , 359.0194, 178.1295, 2.101614
0,  , 359.0108, 178.0757, 2.148935
0,  , 358.9666, 177.9561, 2.211917
0,  , 358.9106, 177.8802, 2.235301
0,  , 358.9123, 177.8359, 2.263105
0,  , 358.8919, 177.7369, 2.258744
0,  , 358.8708, 177.6566, 2.282827
0,  , 358.8739, 177.5548, 2.311407
0,  , 358.9116, 177.4203, 2.360188
0,  , 358.9431, 177.1207, 2.555934
0,  , 358.9285, 176.7418, 2.660525
0,  , 358.8617, 176.3934, 2.709621
0,  , 358.8611, 176.0381, 2.851417
0,  , 358.881, 175.4722, 3.058882
0,  , 358.9333, 175.123, 3.252869
0,  , 358.9358, 174.3212, 3.371517
0,  , 358.9341, 173.4869, 3.353766
0,  , 358.923, 172.9796, 3.641245
0,  , 358.8966, 172.7708, 3.930706
0,  , 358.8945, 172.2609, 4.262576
0,  , 358.9849, 172.1146, 4.331263
0,  , 359.0514, 171.6181, 4.514349
0,  , 358.9511, 171.3849, 4.554729
0,  , 358.8268, 170.8483, 4.635898
0,  , 358.7382, 170.7599, 4.514792
0,  , 358.6984, 170.5421, 4.538613
0,  , 358.7216, 170.5622, 4.523159
0,  , 358.704, 170.3799, 4.615791
0,  , 358.69, 170.3998, 4.631494
0,  , 358.6709, 170.6114, 4.593902
0,  , 358.5697, 170.7159, 4.61875
0,  , 358.64, 170.8197, 4.646485
0,  , 358.5658, 170.8949, 4.55109
0,  , 358.4883, 171.0727, 4.464914
0,  , 358.5641, 171.1857, 4.361673
0,  , 358.6288, 171.2956, 4.276153
0,  , 358.5875, 171.3398, 4.248008
0,  , 358.549, 171.4297, 4.085146
0,  , 358.5417, 171.4152, 3.9962
0,  , 358.5491, 171.3766, 3.948578
0,  , 358.6505, 171.3182, 3.972651
0,  , 358.6344, 171.1431, 3.983908
0,  , 358.5924, 170.8177, 4.101796
0,  , 358.5799, 170.4688, 4.119726
0,  , 358.5835, 170.2737, 4.193027
0,  , 358.5345, 169.8648, 4.287549
0,  , 358.5414, 169.4959, 4.349519
0,  , 358.5415, 169.0113, 4.451006
0,  , 358.5544, 168.3216, 4.562285
0,  , 358.5339, 167.692, 4.644117
0,  , 358.4988, 166.5129, 4.767587
0,  , 358.3978, 165.2826, 4.943125
