Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
1267, 1267, P, Yes, None, 359.6631, 184.4655, 355.5853
3334, 1322, O, Yes, None, 357.3612, 176.5136, 356.9228
4805, 790, N, Yes, None, 355.9378, 185.269, 356.4589
6994, 971, C, Yes, None, 354.7144, 167.1992, 355.753
8762, 738, P, Yes, None, 357.5221, 185.262, 353.8421
10498, 469, C, Yes, None, 359.6323, 194.1238, 352.7421
13450, 1417, Q, Yes, None, 357.7177, 187.4406, 349.9933
14669, 633, Y, Yes, None, 357.3549, 176.0055, 352.7973
16539, 500, T, Yes, None, 355.6002, 171.1951, 352.45
18843, 800, Z, Yes, None, 355.9137, 170.4562, 352.5477
20847, 795, W, Yes, None, 356.7357, 169.4836, 356.9927
23069, 1016, B, Yes, None, 357.0907, 182.2423, 353.1409
25987, 1923, A, Yes, None, 344.2124, 179.6341, 356.4669
28071, 2000, b, No, Omission, 357.5614, 192.5037, 352.0313
28792, 721, V, Yes, None, 357.9361, 194.2368, 351.8262
32077, 2000, X, Yes, None, 356.9465, 186.2851, 351.3512
32779, 701, D, Yes, None, 357.4459, 185.1571, 351.727
35217, 1133, M, Yes, None, 357.123, 176.4343, 352.6665
37651, 1550, P, Yes, None, 357.6013, 178.3634, 350.1239
38865, 752, D, Yes, None, 357.6632, 178.1284, 350.1612
40852, 733, E, Yes, None, 357.7821, 178.1883, 350.0932
42800, 666, I, Yes, None, 359.4867, 191.4039, 350.5049
44818, 667, J, Yes, None, 358.476, 194.7758, 0.4043157
46768, 599, M, Yes, None, 354.0908, 182.5014, 353.253
49321, 1147, D, Yes, None, 352.8302, 182.7869, 352.0527
50960, 767, J, Yes, None, 355.1773, 196.1559, 352.3496
52594, 382, b, Yes, None, 355.07, 188.5301, 351.9502
54496, 273, a, Yes, None, 355.3371, 184.6345, 352.1469
56826, 598, X, No, Commission, 356.4028, 184.8401, 351.0464
60249, 2000, W, No, Omission, 348.9408, 253.2053, 347.6815
61166, 917, J, Yes, None, 354.2502, 178.4457, 353.6702
64262, 2000, x, Yes, None, 357.3797, 181.7269, 351.4602
64785, 523, a, Yes, None, 355.8196, 183.1653, 349.5493
68271, 2000, x, Yes, None, 358.7033, 179.9292, 353.3978
69086, 815, B, Yes, None, 358.5425, 168.9603, 355.6911
71291, 1019, Z, Yes, None, 357.8721, 179.0184, 356.3056
74144, 1867, V, Yes, None, 355.4313, 191.0268, 354.7901
76305, 2000, E, No, Omission, 350.1971, 187.0955, 353.2312
76556, 250, x, No, Commission, 352.5752, 182.9199, 353.903
78711, 399, H, Yes, None, 355.6092, 191.849, 351.2752
82328, 2000, X, Yes, None, 358.1786, 168.3074, 355.1004
83094, 766, G, Yes, None, 357.6463, 168.3094, 356.5421
85760, 1420, Z, Yes, None, 358.3444, 182.6261, 357.7734
86495, 150, M, Yes, None, 358.1416, 182.1385, 358.2154
88945, 600, G, Yes, None, 357.0195, 177.1231, 355.3099
91064, 709, T, Yes, None, 357.1615, 180.6378, 354.3374
93293, 933, G, Yes, None, 355.9601, 178.7191, 354.7807
96379, 2000, x, Yes, None, 353.0123, 123.9813, 356.5576
97064, 685, Z, Yes, None, 358.088, 167.5622, 354.923
99149, 766, D, Yes, None, 358.1832, 176.5208, 355.8315
101602, 1208, T, Yes, None, 358.3514, 187.2131, 354.0894
103702, 1304, Q, Yes, None, 358.4743, 186.1019, 353.7874
105502, 1099, M, Yes, None, 358.0097, 182.6494, 354.6784
108407, 2000, X, Yes, None, 357.8075, 178.7446, 356.1947
109007, 599, V, Yes, None, 357.7794, 178.7476, 356.1714
112423, 2000, x, Yes, None, 357.6522, 178.978, 356.05
112993, 570, P, Yes, None, 357.7697, 179.0076, 356.0194
115012, 583, S, Yes, None, 357.7268, 179.3098, 355.8304
117213, 781, W, Yes, None, 357.7867, 179.2674, 355.8756
119967, 1533, A, Yes, None, 359.2811, 192.0388, 352.4507
121766, 1316, U, Yes, None, 358.412, 191.47, 351.9709
124171, 1708, W, Yes, None, 355.2083, 188.7414, 352.4702
125206, 738, E, Yes, None, 356.5779, 184.454, 352.7229
127624, 1152, P, Yes, None, 359.3946, 149.2444, 356.0789
130482, 2000, X, Yes, None, 358.139, 177.4751, 353.88
131359, 877, C, Yes, None, 359.7572, 173.8657, 353.5984
133428, 944, F, Yes, None, 359.0399, 182.1506, 355.7852
135147, 646, M, Yes, None, 359.1419, 177.7594, 356.2376
137194, 682, F, Yes, None, 359.6055, 177.6872, 355.9543
139600, 1083, J, Yes, None, 359.5622, 178.7186, 355.7099
141284, 766, F, Yes, None, 359.3317, 182.8296, 353.8531
143636, 1100, C, Yes, None, 0.2061307, 190.8597, 351.5858
145491, 952, Q, Yes, None, 358.7648, 198.3772, 352.9367
148577, 2000, x, Yes, None, 358.4848, 185.9282, 355.1405
149426, 849, O, Yes, None, 358.1538, 182.3393, 355.6598
151427, 838, S, Yes, None, 358.4085, 181.6954, 355.6074
153274, 685, Q, Yes, None, 358.5492, 181.768, 355.5583
155058, 466, U, Yes, None, 358.5974, 182.0513, 355.3648
157119, 515, M, Yes, None, 358.4589, 182.3378, 355.1732
159159, 549, N, Yes, None, 358.6996, 182.4411, 354.8797
161059, 450, Q, Yes, None, 358.2609, 182.0025, 355.6189
164645, 2000, x, Yes, None, 358.198, 167.5834, 353.3763
166664, 2000, X, Yes, None, 358.1154, 178.4337, 353.8929
167241, 576, H, Yes, None, 358.1786, 182.3537, 353.9996
170681, 2000, x, Yes, None, 358.38, 183.9238, 353.1696
171052, 371, E, Yes, None, 358.4635, 183.8508, 353.137
174687, 2000, x, Yes, None, 356.8677, 157.9319, 353.3151
175651, 964, W, Yes, None, 356.0621, 195.9947, 354.9922
178723, 2000, X, Yes, None, 355.9205, 186.6313, 353.442
179740, 1016, A, Yes, None, 356.485, 186.1308, 353.255
181938, 1204, a, Yes, None, 356.4469, 186.0462, 353.3642
183741, 1002, G, Yes, None, 356.6486, 185.6778, 353.3693
186747, 2000, A, No, Omission, 353.4508, 170.4251, 353.1534
187778, 1031, a, Yes, None, 358.1074, 182.074, 356.8905
189932, 1185, E, Yes, None, 355.1377, 178.3321, 359.601
192065, 1306, J, Yes, None, 355.1169, 175.508, 354.6234
193445, 681, L, Yes, None, 355.1835, 175.8788, 354.5384
195395, 629, Y, Yes, None, 355.5387, 176.5536, 354.3668
197453, 684, a, Yes, None, 356.04, 176.8118, 354.1309
200115, 1328, H, Yes, None, 356.19, 177.5116, 353.5706
201702, 904, Q, Yes, None, 356.1753, 177.4583, 353.5985
203415, 612, b, Yes, None, 356.2042, 177.5174, 353.5629
205122, 316, P, Yes, None, 356.209, 177.4913, 353.6479
207674, 865, C, Yes, None, 357.7816, 197.5412, 356.2945
209876, 1050, S, Yes, None, 357.4591, 183.4336, 353.2854
212144, 1299, a, Yes, None, 357.3697, 182.7713, 353.636
213454, 598, B, Yes, None, 357.4678, 182.7766, 353.5653
216865, 2000, x, Yes, None, 356.4794, 182.9739, 353.8535
217394, 529, B, Yes, None, 355.4342, 185.0137, 352.9752
219414, 532, V, Yes, None, 357.805, 180.7562, 352.0607
221334, 449, J, Yes, None, 0.05186041, 186.1738, 359.4103
223334, 439, C, Yes, None, 0.3346675, 184.5807, 355.6118
226052, 1152, W, Yes, None, 359.8965, 175.5194, 351.067
227835, 933, V, Yes, None, 0.7252855, 185.9299, 351.8179
229619, 714, b, Yes, None, 0.7196023, 185.8428, 351.7517
231722, 799, A, Yes, None, 0.5335062, 185.9142, 351.6933
234757, 1824, U, Yes, None, 350.3323, 188.1796, 355.578
236942, 2000, L, No, Omission, 352.6974, 277.9652, 342.0796
238955, 2000, Y, No, Omission, 353.3046, 183.4893, 355.0548
239138, 183, M, Yes, None, 354.5699, 179.1591, 355.7143
241573, 606, I, Yes, None, 357.7716, 183.1254, 351.3905
243890, 917, R, Yes, None, 357.2497, 181.7023, 351.4306
246976, 2001, Y, Yes, None, 345.1692, 181.6526, 355.1137
248987, 2000, J, No, Omission, 339.0712, 174.2962, 354.6938
249474, 487, P, Yes, None, 349.0752, 170.0093, 354.1965
252996, 2000, x, Yes, None, 356.7417, 50.55299, 12.27112
254209, 1213, Q, Yes, None, 358.2906, 168.1134, 0.2012481
256136, 1124, Y, Yes, None, 356.3338, 195.0056, 354.5479
258331, 1310, N, Yes, None, 344.3997, 193.1507, 354.5388
260225, 1202, A, Yes, None, 4.320204, 172.4421, 2.569128
261908, 866, I, Yes, None, 1.281252, 179.2365, 355.8614
263508, 450, W, Yes, None, 0.3450864, 180.336, 354.1733
265403, 333, b, Yes, None, 1.131454, 181.7121, 353.7913
267715, 645, U, Yes, None, 0.3359891, 173.9316, 354.4149
269786, 706, T, Yes, None, 1.040462, 186.8023, 353.1035
271540, 455, G, Yes, None, 358.4749, 184.9361, 352.6442
273452, 362, I, Yes, None, 358.3997, 184.3749, 352.5465
275541, 450, x, No, Commission, 358.691, 168.1203, 353.4568
279118, 2000, X, Yes, None, 358.8802, 173.6824, 352.6538
279657, 538, B, Yes, None, 358.9084, 173.6954, 352.724
281875, 752, A, Yes, None, 359.5364, 173.7656, 352.5748
283710, 583, Q, Yes, None, 359.1514, 174.0059, 352.4126
285977, 833, F, Yes, None, 1.404177, 186.034, 355.3013
289171, 2000, x, Yes, None, 351.6588, 172.8841, 355.1556
289944, 772, C, Yes, None, 351.5581, 176.7151, 353.9779
292360, 1182, G, Yes, None, 353.405, 179.7652, 353.2569
293927, 733, T, Yes, None, 355.9601, 195.8043, 353.4864
297226, 2000, X, Yes, None, 356.2652, 181.6217, 353.808
297561, 334, E, Yes, None, 356.3647, 181.6843, 353.7405
299892, 654, D, Yes, None, 356.4337, 181.7836, 353.6551
302218, 977, S, Yes, None, 356.6471, 181.6194, 353.8295
305253, 2000, x, Yes, None, 356.6334, 181.7743, 353.6974
307257, 2000, X, Yes, None, 356.7685, 181.7809, 353.6214
307953, 695, a, Yes, None, 356.6777, 181.8284, 353.6339
310237, 977, Q, Yes, None, 356.7585, 181.8111, 353.6247
312075, 814, I, Yes, None, 358.1237, 182.1885, 350.4011
313911, 638, G, Yes, None, 358.2151, 178.4198, 356.8096
317281, 2000, X, Yes, None, 358.4973, 179.2905, 355.0427
317798, 516, P, Yes, None, 358.6108, 179.4063, 354.9462
320215, 933, C, Yes, None, 358.4424, 179.2363, 355.1369
322433, 1140, B, Yes, None, 358.5454, 179.4918, 354.9058
324746, 1448, D, Yes, None, 358.3991, 179.5636, 355.0359
326751, 1450, b, Yes, None, 350.6628, 190.9259, 356.5978
328352, 1050, H, Yes, None, 355.2162, 179.7763, 352.0311
