Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 1.004652, 350.7531, 358.6098
0,  , 1.024722, 350.8308, 358.5408
0,  , 1.064396, 351.3036, 358.4074
0,  , 1.008081, 350.9034, 357.9193
0,  , 0.7705271, 350.2198, 357.8608
0,  , 0.8533713, 350.067, 357.8507
0,  , 1.039014, 350.3514, 357.9074
0,  , 1.169795, 350.4983, 357.8455
0,  , 1.327967, 350.6655, 357.966
0,  , 2.336802, 351.0685, 358.5443
0,  , 6.5906, 351.217, 359.0874
0,  , 8.627246, 351.8222, 358.9084
0,  , 10.94786, 352.06, 358.1219
0,  , 12.2814, 352.1679, 357.2354
0,  , 13.81975, 352.4048, 356.4872
0,  , 12.06243, 353.1378, 357.0818
0,  , 10.28504, 353.7971, 358.1907
0,  , 9.588892, 354.0927, 359.0271
0,  , 9.441374, 353.7684, 359.4867
0,  , 9.711033, 353.6621, 359.3065
0,  , 10.4238, 353.9071, 359.5775
0,  , 10.58827, 354.2983, 0.4702314
0,  , 10.31911, 354.4508, 0.829291
0,  , 10.18517, 354.4185, 0.9161468
0,  , 9.841769, 354.0404, 1.1064
0,  , 10.38339, 353.6377, 1.193706
0,  , 10.49218, 353.8634, 1.192345
0,  , 10.75849, 354.0179, 1.432056
0,  , 10.954, 354.12, 1.395068
0,  , 11.16236, 354.0465, 1.192895
0,  , 11.11394, 353.9294, 0.9606171
0,  , 10.79824, 353.9246, 1.187718
0,  , 10.85731, 354.074, 1.675354
0,  , 11.05449, 354.1992, 1.983243
0,  , 11.41937, 354.053, 1.652796
0,  , 11.49693, 353.8727, 1.567975
0,  , 11.19376, 353.7683, 1.617463
0,  , 11.193, 353.8289, 1.887031
0,  , 11.31746, 354.0031, 2.146055
0,  , 11.41794, 354.1456, 2.300351
0,  , 11.40833, 354.1803, 2.19244
0,  , 11.42281, 354.11, 1.992254
0,  , 11.52043, 354.2048, 1.927032
0,  , 11.6525, 354.2553, 1.715023
0,  , 11.75007, 354.267, 1.660644
0,  , 11.68745, 354.2985, 1.837153
0,  , 11.69429, 354.4269, 1.771785
0,  , 11.72803, 354.5598, 1.623618
0,  , 11.85876, 354.746, 1.412889
0,  , 12.04709, 354.8252, 1.262068
0,  , 12.24959, 354.9558, 1.077927
0,  , 12.24153, 354.9781, 1.067468
0,  , 12.11422, 354.9822, 1.008643
0,  , 12.08453, 355.0435, 0.9360203
0,  , 12.15476, 355.0509, 0.7713897
0,  , 12.27495, 355.1204, 0.6082366
0,  , 12.29243, 355.1114, 0.7209354
0,  , 12.24321, 355.212, 0.8409885
0,  , 12.25813, 355.2994, 0.8668265
0,  , 12.27197, 355.3545, 0.7503227
0,  , 12.26478, 355.2693, 0.674487
0,  , 12.32308, 355.2839, 0.6549712
0,  , 12.32357, 355.3047, 0.6728703
0,  , 12.36085, 355.4028, 0.648895
0,  , 12.33607, 180, 0.5660652
0,  , 12.28915, 180.0208, 0.4869765
0,  , 12.34522, 179.9946, 0.5435997
0,  , 12.26768, 179.9671, 0.645982
0,  , 12.2249, 180.0468, 0.7677757
0,  , 12.12559, 179.9314, 0.8466289
0,  , 12.01242, 179.9453, 0.9294692
0,  , 11.9936, 180.0541, 0.9370052
0,  , 12.03343, 179.9592, 0.8423439
0,  , 12.00731, 179.9271, 0.9203513
0,  , 11.98803, 180.2057, 0.8506596
0,  , 12.04466, 180.3367, 0.8466952
0,  , 11.92864, 180.2334, 0.8932434
0,  , 11.63021, 180.2409, 0.8557841
0,  , 11.67243, 180.2802, 0.8195167
0,  , 11.62794, 180.2386, 0.7681646
0,  , 11.53091, 180.1203, 0.8545566
0,  , 11.62268, 180.0457, 0.897751
0,  , 11.65208, 180.0291, 0.6770532
0,  , 11.5977, 179.9171, 0.8120417
0,  , 11.4264, 179.8419, 0.8994501
0,  , 11.48719, 179.8816, 0.8187541
0,  , 11.48897, 179.9122, 0.6872716
0,  , 11.39906, 179.8501, 0.7382059
0,  , 11.39197, 179.8795, 0.8122996
0,  , 11.42257, 179.9449, 0.6959021
0,  , 11.44575, 179.9229, 0.6295648
0,  , 11.40128, 179.9118, 0.7048356
0,  , 11.42148, 179.9928, 0.6751716
0,  , 11.45658, 180.051, 0.5945393
0,  , 11.457, 180.0253, 0.4087442
0,  , 11.44946, 179.989, 0.3922769
0,  , 11.46903, 179.9931, 0.4307224
0,  , 11.52544, 180.0972, 0.3607477
0,  , 11.45967, 180.1212, 0.2970727
0,  , 11.45013, 180.0602, 0.317372
0,  , 11.41492, 180.0863, 0.3183441
0,  , 11.45367, 180.1814, 0.2807958
0,  , 11.45572, 180.2595, 0.2328882
0,  , 11.38225, 180.2392, 0.1976455
0,  , 11.30444, 180.3221, 0.289218
0,  , 11.34383, 180.5703, 0.2578204
0,  , 11.24686, 180.7195, 0.08872715
0,  , 11.26203, 180.746, 0.1342864
0,  , 11.19472, 180.8072, 0.1662636
0,  , 11.22842, 181.081, 0.1371109
0,  , 11.26501, 181.1951, 0.0764385
0,  , 11.35441, 181.4129, 359.934
0,  , 11.31133, 181.4433, 0.1033623
0,  , 11.32492, 181.6059, 0.09937578
0,  , 11.35013, 181.7364, 0.1587296
0,  , 11.3796, 181.9432, 0.1683278
