Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
0, 0,  , Yes, None, 6.457302, 1.491224, 358.4894
806, 806, J, Yes, None, 359.9741, 176.9748, 359.2351
2556, 550, G, Yes, None, 0.4859161, 181.5539, 357.8167
4623, 616, K, Yes, None, 1.353743, 183.1142, 0.1679586
6767, 743, Y, Yes, None, 4.389006, 179.293, 358.3158
8953, 919, K, Yes, None, 9.232154, 180.8508, 0.5906427
10858, 819, P, Yes, None, 0.5160653, 184.6226, 354.7377
12420, 376, R, Yes, None, 357.7181, 170.977, 352.9195
14424, 376, N, Yes, None, 359.8887, 178.9853, 357.5112
16429, 365, Q, Yes, None, 3.291781, 187.1898, 359.5044
18414, 333, L, Yes, None, 2.728383, 180.7763, 359.6472
20661, 563, N, Yes, None, 1.521771, 174.0606, 356.3243
22131, 22, C, Yes, None, 0.6499377, 165.8728, 356.4001
25059, 945, K, Yes, None, 2.168593, 177.7339, 359.3463
26731, 612, O, Yes, None, 0.1507106, 200.7238, 0.22063
28931, 811, R, Yes, None, 359.6204, 170.3485, 354.754
30820, 683, V, Yes, None, 359.7036, 177.8118, 355.4506
33136, 989, X, No, Commission, 359.4402, 182.5459, 358.2908
35137, 984, Y, Yes, None, 351.3514, 178.1653, 353.5787
36638, 483, V, Yes, None, 351.8712, 176.7766, 355.8488
40180, 2000, X, Yes, None, 353.3387, 174.8835, 354.9799
41377, 1197, L, Yes, None, 353.4301, 174.9512, 355.0107
44197, 2000, x, Yes, None, 353.5997, 175.2878, 354.8112
44914, 716, A, Yes, None, 353.5358, 175.6823, 354.6403
46863, 654, D, Yes, None, 353.3409, 176.0039, 354.4798
48965, 753, H, Yes, None, 353.403, 176.1454, 354.6832
51066, 850, E, Yes, None, 353.6072, 176.1363, 354.6223
52732, 516, T, Yes, None, 356.7898, 197.9991, 354.3523
54812, 585, N, Yes, None, 357.7806, 191.4743, 352.4252
57999, 1766, O, Yes, None, 0.7414579, 170.5764, 358.5376
58947, 698, G, Yes, None, 1.074337, 190.0881, 356.8509
61147, 881, L, Yes, None, 359.0312, 176.0997, 351.5722
63110, 827, V, Yes, None, 5.60994, 174.976, 356.7267
66306, 2000, x, Yes, None, 357.0651, 144.3938, 351.9196
67189, 882, D, Yes, None, 0.1942259, 183.9078, 356.3364
69025, 701, x, No, Commission, 0.5771826, 186.1855, 354.3145
71362, 1033, D, Yes, None, 0.9055932, 185.9888, 354.3778
73378, 1037, V, Yes, None, 1.155377, 186.3273, 354.1035
74958, 613, I, Yes, None, 0.07695552, 198.921, 356.9441
77345, 999, E, Yes, None, 0.2315115, 181.2749, 353.3629
79128, 766, V, Yes, None, 0.0622744, 181.9825, 353.4984
82378, 2000, T, No, Omission, 0.3288895, 182.2856, 353.4641
82428, 50, A, Yes, None, 0.2923538, 182.2932, 353.4865
85009, 630, D, Yes, None, 0.1377343, 182.1991, 353.4333
86995, 599, H, Yes, None, 359.881, 182.197, 353.6352
88991, 584, B, Yes, None, 359.9573, 182.1531, 353.5453
90961, 550, F, Yes, None, 359.7545, 182.1106, 353.6469
92928, 500, W, Yes, None, 359.8209, 182.0369, 353.6778
95044, 616, J, Yes, None, 359.9353, 181.9256, 353.6145
96978, 538, H, Yes, None, 359.35, 178.5918, 353.5834
98959, 514, x, No, Commission, 359.7181, 182.3054, 354.8061
100895, 448, T, Yes, None, 359.7371, 180.5103, 355.0344
102795, 332, x, No, Commission, 359.3487, 180.7091, 355.0393
104912, 433, S, Yes, None, 359.4663, 180.7657, 355.0021
107045, 554, R, Yes, None, 359.4895, 180.9131, 354.8827
110496, 2000, X, Yes, None, 359.3805, 180.9496, 354.8988
112515, 2000, x, Yes, None, 359.4588, 180.9433, 354.8719
113183, 668, U, Yes, None, 359.3628, 180.9684, 354.9457
115482, 966, F, Yes, None, 359.3997, 180.9569, 354.8616
118536, 2000, X, Yes, None, 359.3655, 180.9758, 354.8035
119313, 777, U, Yes, None, 359.4553, 181.0265, 354.7972
122247, 1699, K, Yes, None, 359.3782, 181.0334, 354.7336
123211, 647, M, Yes, None, 359.288, 181.1131, 354.7352
126581, 2000, X, Yes, None, 359.4943, 181.1749, 354.7553
127694, 1113, I, Yes, None, 359.2809, 181.226, 354.7129
130597, 2000, S, No, Omission, 358.2169, 145.7805, 351.783
131214, 616, N, Yes, None, 359.484, 162.8229, 352.7995
134613, 2000, x, Yes, None, 0.4398645, 180.6299, 353.8993
135182, 568, F, Yes, None, 0.3886619, 180.6077, 353.954
137245, 627, b, Yes, None, 0.2228286, 180.6044, 353.8622
140636, 2000, x, Yes, None, 0.1517812, 180.4895, 354.032
141783, 1147, C, Yes, None, 0.02036395, 180.6125, 353.8691
144135, 1488, W, Yes, None, 0.1312378, 180.547, 353.9438
146239, 1586, H, Yes, None, 351.0453, 186.6262, 355.5057
148662, 2000, x, Yes, None, 358.988, 236.9582, 345.2961
150665, 2000, X, Yes, None, 356.4865, 160.823, 0.9314175
152668, 2000, R, No, Omission, 4.301172, 177.8718, 359.1995
153046, 378, a, Yes, None, 4.778542, 181.6339, 358.066
156634, 1950, H, Yes, None, 21.25224, 182.051, 357.7083
158317, 1616, B, Yes, None, 2.809407, 178.4405, 1.143235
160717, 2000, V, No, Omission, 358.5678, 175.3304, 1.725029
160851, 133, x, No, Commission, 358.5019, 175.0263, 2.072129
163780, 1046, E, Yes, None, 2.658908, 168.7363, 359.0003
165534, 783, C, Yes, None, 3.617608, 174.5724, 359.4505
167651, 883, M, Yes, None, 1.734687, 177.9951, 356.6462
170783, 2000, x, Yes, None, 2.428208, 186.3751, 356.0739
171403, 620, B, Yes, None, 2.28047, 186.9839, 355.9776
173247, 460, D, Yes, None, 1.301246, 180.4973, 357.855
175303, 516, P, Yes, None, 1.390984, 180.6741, 357.4844
