Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
193410, 516, J, Yes, None, 359.1461, 171.0316, 350.8237
195890, 979, D, Yes, None, 359.1449, 177.3141, 356.7117
198939, 2000, x, Yes, None, 358.4779, 179.6793, 354.4021
199546, 606, H, Yes, None, 358.6164, 179.5542, 354.3821
201580, 635, Q, Yes, None, 359.1058, 179.6395, 354.219
204966, 2000, x, Yes, None, 359.585, 181.5525, 353.7246
205594, 628, J, Yes, None, 359.5904, 181.5718, 353.7662
208999, 2000, x, Yes, None, 359.4395, 182.5224, 354.1516
209949, 949, G, Yes, None, 359.4268, 182.6348, 354.0138
212389, 1378, Z, Yes, None, 359.4096, 182.5632, 354.0316
214144, 1132, E, Yes, None, 359.3761, 182.5225, 354.053
216044, 1023, Y, Yes, None, 359.4365, 182.5004, 354.0098
217761, 735, H, Yes, None, 359.4334, 182.364, 354.0675
219711, 683, T, Yes, None, 359.4196, 182.4163, 354.0282
223041, 2000, X, Yes, None, 359.5927, 182.4373, 353.903
225045, 2000, x, Yes, None, 359.6278, 182.3767, 353.9073
225796, 750, Y, Yes, None, 359.688, 182.3813, 353.8827
228206, 1159, U, Yes, None, 359.6976, 181.6662, 354.4791
230044, 981, C, Yes, None, 359.794, 181.9753, 354.1391
232296, 1221, U, Yes, None, 359.7417, 182.4563, 353.9176
234729, 1650, H, Yes, None, 359.7362, 182.41, 353.9405
237096, 2000, X, Yes, None, 346.3952, 260.0421, 342.405
239107, 2000, x, Yes, None, 347.2576, 262.5791, 340.141
240193, 1086, C, Yes, None, 359.0274, 178.7006, 349.7309
241880, 767, R, Yes, None, 1.218492, 183.5246, 352.8888
245023, 1905, b, Yes, None, 1.322844, 182.3389, 353.5297
245986, 863, Z, Yes, None, 1.134361, 179.4653, 354.6278
247807, 683, F, Yes, None, 1.217641, 179.2549, 354.1947
249787, 646, G, Yes, None, 1.18605, 179.7249, 353.9138
252274, 1122, F, Yes, None, 1.296224, 179.4729, 354.0234
254020, 863, O, Yes, None, 1.301445, 179.3793, 354.1066
255774, 616, V, Yes, None, 1.337936, 179.3385, 354.1418
258025, 850, a, Yes, None, 1.332572, 179.3588, 354.1355
260675, 1489, M, Yes, None, 1.357079, 179.247, 354.1841
263208, 2000, K, No, Omission, 1.399019, 179.2573, 354.1746
263306, 98, E, Yes, None, 1.420629, 179.2415, 354.1776
266704, 1479, N, Yes, None, 1.203703, 171.1936, 353.2714
269258, 2000, x, Yes, None, 2.25764, 177.9048, 352.6715
271271, 2000, X, Yes, None, 2.14701, 177.9459, 352.7664
273285, 2000, x, Yes, None, 2.154391, 177.925, 352.6564
274250, 965, M, Yes, None, 2.163973, 177.8368, 352.6662
277313, 2000, x, Yes, None, 2.030787, 177.8259, 352.6888
277852, 538, Q, Yes, None, 2.07963, 177.8446, 352.7759
279968, 650, N, Yes, None, 2.196039, 177.7569, 352.7817
282503, 1182, I, Yes, None, 2.094242, 177.7737, 352.7046
284186, 850, C, Yes, None, 2.034143, 177.7898, 352.6769
287353, 2000, X, Yes, None, 2.259811, 178.0344, 352.6053
289370, 2000, x, Yes, None, 359.4465, 184.7236, 352.7307
291386, 2000, X, Yes, None, 358.7972, 182.2998, 357.1768
293403, 2000, x, Yes, None, 0.8022476, 179.3045, 353.7241
295413, 2000, X, Yes, None, 359.8549, 179.0412, 354.0417
296986, 1572, T, Yes, None, 348.7816, 179.719, 354.6417
298319, 900, B, Yes, None, 353.9606, 179.7431, 354.1099
300936, 1516, M, Yes, None, 354.248, 179.6772, 353.7331
302907, 1470, O, Yes, None, 354.7687, 177.6521, 353.498
304516, 1068, K, Yes, None, 355.9933, 171.0959, 353.472
306533, 1083, I, Yes, None, 358.8908, 176.9078, 353.0444
309350, 1899, S, Yes, None, 358.5873, 177.4359, 352.7661
311480, 2000, X, Yes, None, 358.8337, 168.2572, 353.1134
313416, 1935, Y, Yes, None, 0.4373185, 176.8089, 352.3271
315485, 2000, X, Yes, None, 0.100085, 176.9186, 352.4238
316395, 910, K, Yes, None, 0.2896157, 176.8866, 352.5491
318351, 855, x, No, Commission, 0.332723, 176.89, 352.5335
320304, 803, H, Yes, None, 0.3745688, 177.104, 352.4686
322936, 1432, B, Yes, None, 1.3835, 180.748, 0.9904772
325166, 1663, a, Yes, None, 1.145341, 185.3794, 359.1051
327519, 2000, X, Yes, None, 1.226319, 178.5704, 353.9036
328102, 583, R, Yes, None, 1.18828, 178.1362, 354.2203
