Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
2012, 2000, X, Yes, None, 348.3079, 180.7174, 356.1339
2737, 724, a, Yes, None, 348.3542, 180.548, 356.2784
4824, 808, M, Yes, None, 348.3983, 180.1268, 356.6452
8025, 2000, X, Yes, None, 348.2939, 173.3788, 2.458839
10033, 2000, L, No, Omission, 356.4798, 134.7962, 5.397765
10989, 956, X, No, Commission, 0.6735513, 177.4166, 4.320629
14024, 1985, x, No, Commission, 40.30444, 272.5797, 0.2881009
15906, 1840, Q, Yes, None, 3.078835, 178.4133, 5.753909
17337, 1254, L, Yes, None, 2.831746, 177.327, 5.681136
18874, 768, E, Yes, None, 347.7736, 180.4427, 357.0905
20948, 842, K, Yes, None, 351.5128, 185.2604, 0.6345273
22878, 765, M, Yes, None, 355.3059, 183.6587, 358.0893
24675, 549, U, Yes, None, 352.2079, 182.1585, 358.2629
27502, 1361, x, No, Commission, 359.7448, 264.3999, 350.7463
29489, 1334, X, No, Commission, 2.404211, 97.491, 353.0544
31820, 1644, F, Yes, None, 356.2708, 179.9147, 356.1632
33633, 1425, V, Yes, None, 356.0191, 181.5296, 358.2626
35688, 1471, x, No, Commission, 16.5201, 116.0384, 354.6784
37555, 1330, P, Yes, None, 352.1532, 184.5476, 357.575
40268, 2000, F, No, Omission, 341.8492, 248.0432, 358.4107
41327, 1058, x, No, Commission, 12.65471, 149.7469, 350.8138
43695, 1409, O, Yes, None, 348.0999, 184.358, 357.7638
45391, 1101, Z, Yes, None, 348.7565, 184.9762, 357.1662
48315, 2000, S, No, Omission, 359.6183, 187.7311, 358.8037
50329, 2000, H, No, Omission, 341.3433, 185.5184, 5.920654
52365, 2000, U, No, Omission, 346.7763, 212.7807, 355.3096
53413, 1047, B, Yes, None, 346.0412, 188.3868, 353.9508
56339, 1956, I, Yes, None, 1.998637, 179.0941, 2.362912
58238, 1850, x, No, Commission, 4.683565, 175.86, 1.407074
59935, 1531, X, No, Commission, 10.15611, 186.3382, 0.841244
62430, 2000, B, No, Omission, 5.11704, 165.3303, 3.255073
63940, 1510, M, Yes, None, 3.9074, 179.6709, 0.2698827
65730, 1267, J, Yes, None, 3.582896, 179.7493, 359.2384
67833, 1359, C, Yes, None, 3.317386, 179.1599, 359.3049
70014, 1535, P, Yes, None, 3.245247, 179.1311, 359.1801
72496, 2000, U, No, Omission, 3.141768, 179.5707, 358.5895
72808, 311, O, Yes, None, 3.263117, 179.5747, 358.443
75079, 577, E, Yes, None, 3.135809, 179.725, 358.2257
77248, 738, G, Yes, None, 2.477425, 178.8119, 357.2267
79371, 845, I, Yes, None, 2.903776, 180.5153, 356.9818
81258, 715, Q, Yes, None, 2.862686, 180.2722, 357.248
84554, 2000, X, Yes, None, 2.198224, 181.8524, 358.0689
85193, 639, S, Yes, None, 2.858763, 182.3044, 357.9381
88563, 2000, E, No, Omission, 2.518768, 204.7281, 353.2048
89673, 1110, G, Yes, None, 6.026786, 178.4494, 0.6600639
91846, 1272, x, No, Commission, 13.05397, 113.7707, 357.8195
94178, 1583, I, Yes, None, 48.84215, 186.9399, 1.252427
96616, 2000, L, No, Omission, 50.43175, 185.2331, 358.656
98641, 2000, C, No, Omission, 20.03821, 181.9787, 359.8152
100144, 1502, X, No, Commission, 52.15607, 184.6351, 355.715
102660, 2000, Q, No, Omission, 309.2104, 180.507, 359.6918
104669, 2000, X, Yes, None, 13.95414, 224.8752, 351.6243
104710, 40, A, Yes, None, 13.80245, 224.3281, 350.8373
108153, 1469, O, Yes, None, 9.748582, 180.5019, 1.432481
109602, 909, D, Yes, None, 9.820107, 180.3434, 1.580393
112474, 1775, X, No, Commission, 35.91901, 263.3758, 10.69532
114714, 2000, x, Yes, None, 9.768816, 169.3667, 354.6423
114931, 217, X, No, Commission, 10.93328, 149.3183, 5.53713
117715, 982, C, Yes, None, 11.09387, 181.0928, 357.7367
119593, 860, T, Yes, None, 10.41522, 179.4798, 358.4676
121815, 1062, E, Yes, None, 10.52888, 180.3222, 358.8358
123749, 972, D, Yes, None, 10.59324, 180.7127, 358.9955
125696, 903, K, Yes, None, 11.06305, 180.8711, 357.9406
128813, 2000, X, Yes, None, 10.46771, 180.4968, 357.8123
129697, 883, M, Yes, None, 10.48152, 180.36, 357.7919
132839, 2000, V, No, Omission, 55.05337, 241.4199, 343.9041
134693, 1853, x, No, Commission, 2.547609, 121.2528, 1.767317
136867, 2005, A, Yes, None, 8.778006, 178.2386, 357.1241
138082, 1215, N, Yes, None, 8.720727, 178.0621, 357.2477
140868, 2000, X, Yes, None, 27.34541, 189.0891, 2.783732
141015, 147, x, No, Commission, 27.93218, 190.9134, 2.006963
144905, 2000, S, No, Omission, 317.5648, 176.8097, 0.8686437
145962, 1056, x, No, Commission, 314.6479, 174.8431, 1.674954
148094, 1183, X, No, Commission, 316.2819, 175.2458, 1.624076
150200, 1265, Q, Yes, None, 7.697805, 177.2093, 359.5276
152079, 1134, I, Yes, None, 9.184057, 179.1389, 359.7939
154428, 1474, F, Yes, None, 9.288021, 179.7256, 359.203
156766, 1797, b, Yes, None, 9.270723, 179.8653, 359.8727
158866, 1889, B, Yes, None, 9.322799, 179.7252, 359.2337
161006, 2000, a, No, Omission, 9.302295, 179.8143, 359.3047
161169, 162, I, Yes, None, 9.309912, 179.8031, 359.2781
163515, 492, V, Yes, None, 9.287894, 179.7325, 359.3093
166029, 995, D, Yes, None, 9.262085, 179.7349, 358.8086
169082, 2000, x, Yes, None, 9.214304, 179.8217, 358.7364
171090, 2000, a, No, Omission, 37.2844, 262.8927, 8.757965
173097, 2000, Q, No, Omission, 16.01655, 126.9692, 355.1146
175127, 2000, T, No, Omission, 38.56253, 184.9946, 347.7405
177157, 2000, A, No, Omission, 331.458, 202.1253, 350.9223
179190, 2000, D, No, Omission, 329.2495, 149.2592, 7.342685
181202, 2000, P, No, Omission, 330.6646, 149.6065, 8.38975
182923, 1721, X, No, Commission, 351.6992, 179.6288, 354.3334
185224, 2000, G, No, Omission, 352.682, 176.7984, 356.8305
186836, 1612, I, Yes, None, 352.3084, 176.6993, 358.5844
189244, 2000, S, No, Omission, 352.1503, 176.4625, 0.8471411
