Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 5.17202, 349.3775, 350.3494
0,  , 5.112806, 349.3191, 350.316
0,  , 5.042167, 349.1743, 350.4261
0,  , 5.046365, 349.2034, 350.5493
0,  , 5.077786, 349.2606, 350.7414
0,  , 5.080995, 349.2941, 350.8555
0,  , 5.009273, 349.3083, 350.9045
0,  , 4.926085, 349.2705, 350.8642
0,  , 4.974441, 349.2634, 350.9065
0,  , 5.057028, 349.2712, 350.9857
0,  , 5.1287, 349.2936, 351.0775
0,  , 5.197454, 349.3713, 351.2514
0,  , 5.169419, 349.4647, 351.3654
0,  , 5.134514, 349.5789, 351.4178
0,  , 5.188863, 349.6813, 351.4426
0,  , 5.295393, 349.7731, 351.4969
0,  , 5.417145, 349.9126, 351.6093
0,  , 5.453059, 349.9366, 351.6172
0,  , 5.363679, 349.921, 351.5896
0,  , 5.326903, 349.9169, 351.6339
0,  , 5.382152, 349.907, 351.6544
0,  , 5.423088, 349.8958, 351.6866
0,  , 5.471409, 349.8886, 351.7133
0,  , 5.482231, 349.8052, 351.6942
0,  , 5.458846, 349.7223, 351.6914
0,  , 5.441427, 349.5935, 351.6763
0,  , 5.45638, 349.502, 351.6828
0,  , 5.464968, 349.3474, 351.6643
0,  , 5.508003, 349.2648, 351.6599
0,  , 5.521992, 349.2132, 351.659
0,  , 5.51168, 349.219, 351.6726
0,  , 5.514387, 349.2297, 351.7081
0,  , 5.514346, 349.2353, 351.7435
0,  , 5.538402, 349.2802, 351.8481
0,  , 5.563992, 349.2739, 351.9118
0,  , 5.552628, 349.276, 351.9774
0,  , 5.564855, 349.2691, 352.0374
0,  , 5.609303, 349.2599, 352.0836
0,  , 5.691313, 349.2607, 352.1518
0,  , 5.734343, 349.2738, 352.1716
0,  , 5.727578, 349.2844, 352.1861
0,  , 5.689121, 349.2903, 352.2025
0,  , 5.637582, 349.2777, 352.1856
0,  , 5.586717, 349.303, 352.1928
0,  , 5.619133, 349.3064, 352.1845
0,  , 5.635217, 349.3427, 352.1574
0,  , 5.649206, 349.3671, 352.1388
0,  , 5.632505, 349.3821, 352.1549
0,  , 5.614333, 349.3835, 352.183
0,  , 5.61697, 349.3484, 352.1811
0,  , 5.642451, 180, 352.1627
0,  , 5.649352, 180.0094, 352.1555
0,  , 5.626492, 180.0253, 352.1494
0,  , 5.583482, 180.031, 352.1326
0,  , 5.511063, 180.0373, 352.1465
0,  , 5.518296, 180.0434, 352.1355
0,  , 5.528765, 180.0687, 352.117
0,  , 5.569129, 180.0875, 352.101
0,  , 5.606382, 180.1147, 352.097
0,  , 5.593213, 180.1449, 352.0932
0,  , 5.559784, 180.1635, 352.0737
0,  , 5.543429, 180.2018, 352.0336
0,  , 5.550925, 180.2294, 352.0272
0,  , 5.570389, 180.2917, 352.022
0,  , 5.572618, 180.2883, 352.0461
0,  , 5.589552, 180.2868, 352.0544
0,  , 5.595053, 180.2929, 352.0602
0,  , 5.603171, 180.2985, 352.0649
0,  , 5.611969, 180.2952, 352.0814
0,  , 5.607837, 180.2787, 352.1165
0,  , 5.621046, 180.242, 352.1581
0,  , 5.654649, 180.221, 352.1629
0,  , 5.686935, 180.1997, 352.1726
0,  , 5.684416, 180.111, 352.205
0,  , 5.629901, 180.0307, 352.2081
0,  , 5.577323, 179.9544, 352.2047
0,  , 5.579397, 179.8902, 352.2212
0,  , 5.603892, 179.8097, 352.2448
0,  , 5.640323, 179.661, 352.2837
0,  , 5.71932, 179.5641, 352.3156
0,  , 5.75479, 179.4766, 352.315
0,  , 5.764739, 179.4039, 352.3244
0,  , 5.775988, 179.3526, 352.3313
0,  , 5.81485, 179.2353, 352.3168
0,  , 5.821372, 179.1628, 352.3115
0,  , 5.781936, 179.1023, 352.3218
0,  , 5.74451, 178.9906, 352.3034
0,  , 5.650205, 178.8988, 352.2534
0,  , 5.556032, 178.7508, 352.2182
0,  , 5.587136, 178.7194, 352.2296
0,  , 5.68451, 178.7002, 352.2321
0,  , 5.771455, 178.6723, 352.2402
0,  , 5.788684, 178.6185, 352.265
0,  , 5.796975, 178.5215, 352.2705
0,  , 5.737314, 178.4716, 352.236
0,  , 5.720923, 178.4935, 352.1923
0,  , 5.739304, 178.5118, 352.1579
0,  , 5.756834, 178.5386, 352.122
0,  , 5.787689, 178.5205, 352.063
0,  , 5.736867, 178.4824, 352.0284
0,  , 5.697356, 178.4658, 352.0178
0,  , 5.686238, 178.4844, 351.9957
0,  , 5.729112, 178.5174, 352
0,  , 5.789059, 178.572, 351.9583
0,  , 5.80104, 178.5818, 351.9501
0,  , 5.769032, 178.5729, 351.9646
0,  , 5.722276, 178.5344, 351.976
0,  , 5.704732, 178.5173, 351.9797
0,  , 5.711508, 178.5137, 351.9679
0,  , 5.746614, 178.5166, 351.9701
0,  , 5.775796, 178.5034, 351.9658
0,  , 5.761734, 178.4799, 351.9635
0,  , 5.729904, 178.4716, 351.964
0,  , 5.706732, 178.4804, 351.97
0,  , 5.707691, 178.5013, 351.9824
