Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
807, 807, Y, Yes, None, 353.6144, 176.9417, 359.3672
2506, 500, D, Yes, None, 353.6673, 177.0461, 359.218
4626, 614, F, Yes, None, 353.8566, 177.4102, 359.1882
6959, 942, x, No, Commission, 352.9431, 231.0818, 350.6242
10060, 2000, W, No, Omission, 357.6758, 149.1599, 358.3447
10966, 906, D, Yes, None, 357.0432, 183.3861, 354.2209
12654, 581, H, Yes, None, 356.6362, 179.9134, 353.7024
14575, 498, I, Yes, None, 356.8127, 180.0399, 353.4491
16930, 851, C, Yes, None, 356.7142, 179.7395, 353.7473
18693, 612, A, Yes, None, 356.5489, 179.5425, 353.884
22092, 2000, M, No, Omission, 344.9741, 170.6837, 358.2815
24100, 2000, K, No, Omission, 349.3793, 160.8721, 359.6631
25459, 1359, S, Yes, None, 351.2287, 183.8757, 354.2998
28111, 2000, G, No, Omission, 359.8391, 204.1913, 349.5386
28894, 783, a, Yes, None, 356.9326, 180.0395, 354.0981
32116, 2000, X, Yes, None, 355.3289, 180.941, 354.7244
32644, 527, D, Yes, None, 355.0163, 180.9843, 354.8824
36143, 2000, b, No, Omission, 1.016598, 194.2146, 352.9197
38159, 2000, a, No, Omission, 0.03436687, 179.8842, 358.7491
39774, 1614, N, Yes, None, 5.317771, 180.6996, 4.170382
41377, 1211, K, Yes, None, 8.328234, 180.3284, 359.4236
44181, 2000, G, No, Omission, 6.568385, 155.6763, 1.043633
46193, 2000, K, No, Omission, 24.08228, 206.1578, 0.1247925
48203, 2000, L, No, Omission, 7.176816, 177.2409, 355.2937
48681, 477, Q, Yes, None, 7.245449, 177.278, 355.4493
52237, 2000, x, Yes, None, 6.521489, 176.6033, 357.8899
52804, 567, W, Yes, None, 6.57338, 176.7607, 357.926
54808, 568, M, Yes, None, 6.082876, 177.3292, 359.4495
56876, 632, B, Yes, None, 6.292004, 178.5469, 358.8599
60270, 2000, Y, No, Omission, 10.95591, 193.4079, 358.4855
62280, 2000, V, No, Omission, 10.371, 148.3928, 356.7067
64292, 2000, X, Yes, None, 10.32466, 152.3615, 355.2773
65305, 1012, E, Yes, None, 9.7946, 181.421, 356.5575
66961, 653, S, Yes, None, 9.460905, 180.2072, 356.799
68973, 662, R, Yes, None, 9.353228, 180.2684, 356.9451
72336, 2000, Y, No, Omission, 352.001, 223.0455, 354.5317
73453, 1117, J, Yes, None, 2.552362, 173.6913, 357.0717
76375, 2000, C, No, Omission, 6.303635, 158.6844, 353.7926
77360, 984, J, Yes, None, 8.81726, 180.0337, 356.4842
