Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
651, 651, U, Yes, None, 7.622117, 179.8413, 0.3403929
2442, 428, L, Yes, None, 7.629408, 179.88, 0.3748259
6026, 2000, Z, No, Omission, 5.116326, 172.5983, 16.76835
7256, 1229, J, Yes, None, 9.549836, 182.5813, 355.6765
9349, 1321, Y, Yes, None, 8.699029, 180.5062, 358.3405
12041, 2000, X, Yes, None, 8.363945, 179.6154, 359.2083
12740, 699, Y, Yes, None, 8.452629, 179.6121, 359.2715
16096, 2000, L, No, Omission, 7.272716, 171.6981, 0.8377978
16950, 854, H, Yes, None, 9.62955, 180.697, 358.4402
20116, 2000, X, Yes, None, 9.109631, 179.83, 358.9837
22126, 2000, x, Yes, None, 8.46706, 182.5426, 359.2702
24130, 2000, X, Yes, None, 7.74865, 182.0438, 359.6488
26154, 2000, W, No, Omission, 43.59108, 230.7859, 353.8332
28183, 2000, S, No, Omission, 31.13285, 185.9962, 5.329655
30119, 1936, X, No, Commission, 25.79754, 181.4356, 2.8774
32203, 2000, A, No, Omission, 7.08652, 179.3682, 2.942829
32404, 200, x, No, Commission, 6.899088, 179.6425, 3.666272
34999, 782, M, Yes, None, 350.0874, 178.3475, 359.7897
37286, 1054, x, No, Commission, 307.0601, 180.1987, 1.002708
39262, 1025, Y, Yes, None, 347.4768, 182.3553, 359.4951
41214, 964, B, Yes, None, 355.2458, 181.5353, 358.1469
43134, 883, H, Yes, None, 355.4887, 180.3083, 0.03613649
45178, 917, N, Yes, None, 355.4414, 180.2354, 359.7692
47131, 864, A, Yes, None, 355.3655, 179.8728, 359.6907
49093, 806, S, Yes, None, 355.3172, 179.8384, 359.618
51861, 1567, F, Yes, None, 8.619987, 225.4868, 350.3481
53436, 1137, C, Yes, None, 357.1218, 181.3649, 357.3586
55837, 1518, x, No, Commission, 356.8828, 144.6256, 359.2013
57863, 1525, M, Yes, None, 358.0802, 175.8625, 355.687
59751, 1396, S, Yes, None, 358.2339, 179.6365, 357.4296
61303, 942, K, Yes, None, 358.3427, 179.3158, 357.1001
63109, 742, D, Yes, None, 358.2255, 178.7693, 356.89
65122, 741, V, Yes, None, 358.6331, 179.034, 356.9857
68385, 2000, K, No, Omission, 12.28005, 222.8609, 348.1738
70397, 2000, U, No, Omission, 354.9262, 203.5892, 8.767406
72405, 2000, T, No, Omission, 7.646556, 192.0947, 6.017398
74417, 2000, x, Yes, None, 2.504749, 181.0731, 357.0841
74556, 138, H, Yes, None, 2.043924, 181.5514, 356.8306
77025, 592, B, Yes, None, 1.077561, 181.2213, 358.7311
80449, 2000, I, No, Omission, 359.3159, 181.0683, 359.1465
82457, 2000, W, No, Omission, 356.0552, 176.6386, 356.8597
82656, 199, K, Yes, None, 359.7449, 179.7494, 356.579
86478, 2000, x, Yes, None, 358.813, 179.5297, 358.2967
87120, 641, C, Yes, None, 358.6214, 179.4497, 358.7561
89107, 613, J, Yes, None, 359.1264, 180.0987, 357.5929
90970, 460, Q, Yes, None, 359.0465, 180.0481, 357.5761
