Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 347.9041, 352.8068, 359.4461
0,  , 350.9378, 353.8385, 359.9555
0,  , 349.5637, 355.8371, 358.5912
0,  , 347.9361, 359.1363, 355.6527
0,  , 348.9489, 2.119254, 353.1971
0,  , 351.296, 3.990579, 352.6563
0,  , 352.0308, 3.085904, 353.063
0,  , 352.7825, 2.274098, 353.3001
0,  , 352.7906, 1.918751, 353.5644
0,  , 352.6588, 1.117412, 353.6828
0,  , 353.1607, 0.2191065, 353.9548
0,  , 353.2759, 359.5546, 354.1025
0,  , 353.3886, 359.5361, 354.2184
0,  , 353.5395, 359.2598, 354.4567
0,  , 353.6688, 358.9787, 354.5305
0,  , 353.7144, 359.1856, 354.5069
0,  , 353.7345, 359.1095, 354.4596
0,  , 353.7151, 180, 354.504
0,  , 353.8312, 180.0766, 354.6763
0,  , 353.8018, 180.0184, 354.6891
0,  , 353.8157, 179.8628, 354.8866
0,  , 353.8468, 179.5195, 355.0113
0,  , 353.7774, 179.1195, 355.4774
0,  , 353.484, 179.0078, 355.3926
0,  , 352.9887, 179.1466, 355.3735
0,  , 351.8382, 179.3024, 355.5472
0,  , 350.7713, 179.2849, 355.5367
0,  , 350.5642, 179.4767, 355.5136
0,  , 349.7945, 179.5377, 355.4228
0,  , 349.3505, 179.4637, 355.5792
0,  , 349.6794, 179.4978, 355.8389
0,  , 349.3951, 179.7344, 355.963
0,  , 349.1032, 179.9527, 356.1873
0,  , 348.9176, 180.0858, 356.6358
0,  , 348.7356, 180.2939, 357.1376
0,  , 348.401, 180.8384, 357.8442
0,  , 348.32, 181.2634, 358.8307
0,  , 348.1939, 181.6157, 359.675
0,  , 347.9821, 182.0932, 0.67805
0,  , 347.9752, 181.8202, 0.4744128
0,  , 347.8609, 181.6334, 0.8439404
0,  , 347.7973, 181.4517, 1.122405
0,  , 347.9375, 181.5735, 1.236619
0,  , 348.2142, 181.8708, 1.317291
0,  , 348.0872, 181.9677, 1.327911
0,  , 348.2874, 182.126, 1.22672
0,  , 348.5146, 182.856, 1.117986
0,  , 348.3824, 183.4435, 0.7930305
0,  , 348.3529, 183.754, 0.5742929
0,  , 347.8805, 184.6105, 0.5722929
0,  , 347.6106, 185.4479, 0.3579628
0,  , 347.645, 186.1709, 0.1792708
0,  , 347.532, 186.7268, 359.9518
0,  , 347.4872, 187.2703, 359.7478
0,  , 346.842, 187.8887, 359.573
0,  , 346.333, 188.7529, 359.2654
0,  , 346.5542, 188.7318, 359.1168
0,  , 346.0052, 189.2307, 358.7971
0,  , 347.0222, 189.3747, 358.6037
0,  , 346.2855, 189.7452, 358.5511
0,  , 346.1789, 189.9024, 358.2339
0,  , 345.9153, 189.8264, 357.8629
0,  , 345.8645, 189.4243, 357.7081
0,  , 346.0718, 189.1297, 357.8553
0,  , 346.1173, 188.6804, 357.7956
0,  , 345.5791, 188.0336, 357.1735
0,  , 345.4009, 187.4469, 356.837
0,  , 345.8349, 186.553, 356.5425
0,  , 345.503, 184.8629, 356.3274
0,  , 345.5223, 183.7652, 356.1045
0,  , 345.8223, 182.4499, 356.1834
0,  , 345.6763, 181.4716, 356.3191
0,  , 346.5549, 180.7317, 356.3009
0,  , 347.3315, 180.864, 356.2156
0,  , 348.1609, 180.6555, 356.3166
0,  , 348.4424, 180.4728, 356.3182
0,  , 348.2781, 180.4742, 356.3
0,  , 348.1658, 180.5217, 356.3349
0,  , 348.2715, 180.6089, 356.4618
0,  , 348.4267, 180.7009, 356.5028
0,  , 348.4013, 180.5811, 356.4434
0,  , 348.2995, 180.5131, 356.3834
0,  , 348.2482, 180.4915, 356.4626
0,  , 348.2562, 180.5662, 356.5115
0,  , 348.2816, 180.6849, 356.5614
0,  , 348.3466, 180.8572, 356.621
0,  , 348.407, 180.9182, 356.7008
0,  , 348.4266, 180.9519, 356.6816
0,  , 348.3205, 181.0431, 356.7691
0,  , 348.3102, 181.05, 356.8233
0,  , 348.3332, 181.0952, 356.8839
0,  , 348.4663, 181.1649, 357.0027
0,  , 348.5295, 181.138, 357.0797
0,  , 348.5606, 181.0632, 357.1075
0,  , 348.6107, 181.0164, 357.1497
0,  , 348.7257, 181.1116, 357.2025
0,  , 348.8229, 181.1947, 357.2774
0,  , 348.8878, 181.2889, 357.3735
0,  , 348.904, 181.3476, 357.438
0,  , 348.9225, 181.4279, 357.4471
0,  , 348.8916, 181.4918, 357.4158
0,  , 348.9466, 181.6186, 357.4112
0,  , 348.866, 181.5935, 357.3562
0,  , 348.8376, 181.656, 357.2891
0,  , 348.8611, 181.699, 357.2191
0,  , 348.9155, 181.7563, 357.1668
0,  , 348.9619, 181.8637, 357.1144
0,  , 348.9843, 181.8905, 357.0762
0,  , 349.026, 182.024, 356.9752
0,  , 349.0141, 182.0281, 356.9021
0,  , 349.0624, 182.0573, 356.8752
0,  , 349.1198, 182.0674, 356.8414
0,  , 349.1822, 182.0508, 356.7602
0,  , 349.2707, 182.1006, 356.6349
0,  , 349.2682, 182.1116, 356.5369
0,  , 349.3297, 182.1416, 356.3949
0,  , 349.3006, 182.0865, 356.4166
0,  , 349.201, 182.0515, 356.4405
0,  , 349.1182, 182.0249, 356.4368
0,  , 349.034, 182.0222, 356.3762
0,  , 348.9745, 181.972, 356.3856
