Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
582, 582, K, Yes, None, 3.427596, 178.6479, 356.5875
2523, 519, Y, Yes, None, 3.451813, 178.7545, 356.4632
6007, 2000, I, No, Omission, 0.2684644, 162.2603, 355.6799
7382, 1374, x, No, Commission, 5.329304, 148.127, 351.4445
9191, 1172, G, Yes, None, 1.151763, 185.3406, 356.9561
11222, 1192, R, Yes, None, 3.235384, 182.2979, 1.064145
12786, 755, Y, Yes, None, 3.122174, 176.1671, 357.0534
16051, 2000, Z, No, Omission, 32.66335, 220.9662, 354.4807
18065, 2000, E, No, Omission, 341.1913, 193.4842, 349.0453
20067, 2000, a, No, Omission, 354.5092, 182.3761, 350.0056
20553, 486, P, Yes, None, 356.8755, 183.462, 354.5295
22452, 375, x, No, Commission, 357.8446, 180.9166, 353.5977
24612, 508, M, Yes, None, 354.3823, 180.7358, 345.7734
27094, 988, G, Yes, None, 354.2894, 182.2337, 342.5619
28820, 697, D, Yes, None, 352.7944, 181.7201, 351.6761
32149, 2000, M, No, Omission, 1.99567, 200.4077, 351.1714
34162, 2000, E, No, Omission, 355.9536, 142.4656, 357.1631
36174, 2000, x, Yes, None, 8.465833, 197.2734, 330.9186
37972, 1798, Q, Yes, None, 3.092331, 183.9251, 354.2633
39571, 1387, x, No, Commission, 3.962043, 137.432, 1.373661
41637, 1440, U, Yes, None, 20.69081, 199.0064, 348.9573
44221, 2000, X, Yes, None, 355.8687, 180.9742, 352.0764
46234, 2000, x, Yes, None, 356.6519, 180.613, 351.9114
48251, 2000, X, Yes, None, 356.7217, 180.6757, 351.8947
49379, 1127, D, Yes, None, 356.5076, 186.9609, 351.8764
51330, 1068, x, No, Commission, 1.364043, 235.4543, 343.5877
54271, 2000, X, Yes, None, 13.37064, 162.7586, 7.910885
54418, 147, x, No, Commission, 12.14854, 158.8506, 8.765534
58293, 2000, J, No, Omission, 352.9723, 248.8178, 336.295
60315, 2000, X, Yes, None, 20.07994, 251.6195, 342.6604
