Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
876, 876, T, Yes, None, 354.0006, 176.0744, 347.249
2505, 505, D, Yes, None, 354.3465, 175.9357, 347.2254
5808, 1803, x, No, Commission, 354.8877, 146.6398, 351.0516
7546, 1529, X, No, Commission, 355.8616, 238.0726, 354.8898
10028, 2000, x, Yes, None, 12.39232, 153.9624, 352.338
11123, 1094, T, Yes, None, 0.5957859, 174.5526, 346.0941
13268, 1231, P, Yes, None, 2.565631, 172.9418, 8.656234
15325, 1277, S, Yes, None, 0.5892004, 175.8065, 357.839
17387, 1322, D, Yes, None, 357.0671, 178.2463, 353.424
19631, 1553, x, No, Commission, 350.259, 224.8725, 350.1306
21397, 1305, Y, Yes, None, 355.0298, 179.3231, 350.1458
23555, 1443, M, Yes, None, 357.6914, 177.0502, 350.5865
25042, 920, Q, Yes, None, 0.336567, 173.4452, 351.242
27149, 1016, O, Yes, None, 3.53432, 172.7345, 351.8224
30165, 2000, x, Yes, None, 2.030076, 172.7943, 351.4774
32175, 2000, A, No, Omission, 345.9257, 147.2499, 1.180228
34122, 1946, V, Yes, None, 348.7435, 172.9527, 355.5891
35315, 1137, M, Yes, None, 355.2527, 176.4544, 356.0496
37765, 1587, F, Yes, None, 357.9121, 176.7735, 355.9781
38892, 709, R, Yes, None, 355.6822, 178.5389, 354.9965
41134, 945, F, Yes, None, 353.255, 183.7656, 355.1918
43641, 1452, K, Yes, None, 354.1469, 183.2766, 354.9408
44923, 723, a, Yes, None, 358.289, 183.3896, 354.1432
46777, 576, L, Yes, None, 358.8454, 182.6354, 354.3548
48738, 528, V, Yes, None, 358.1347, 180.0808, 355.8738
50787, 567, Y, Yes, None, 358.0569, 180.6092, 354.9446
54257, 2000, X, Yes, None, 358.0815, 162.6312, 1.575234
55842, 1584, H, Yes, None, 359.754, 144.0511, 1.483942
58269, 2000, R, No, Omission, 358.7858, 202.2047, 347.4507
60295, 2000, S, No, Omission, 353.2333, 180.6627, 348.4221
62310, 2000, N, No, Omission, 352.6948, 166.1278, 7.537727
63702, 1391, O, Yes, None, 358.2166, 179.7406, 353.8947
65505, 1174, a, Yes, None, 4.521008, 170.0979, 355.7166
68346, 2000, X, Yes, None, 6.757497, 174.4232, 354.2266
69077, 730, E, Yes, None, 5.92952, 175.3729, 354.2957
71189, 831, K, Yes, None, 4.070823, 174.4365, 353.0752
73436, 1061, O, Yes, None, 3.811378, 173.7874, 352.0784
76388, 2000, X, Yes, None, 3.831895, 174.2186, 352.118
78394, 2000, x, Yes, None, 1.498118, 176.95, 353.2461
79465, 1070, S, Yes, None, 0.6512179, 178.2457, 352.1653
81189, 773, R, Yes, None, 6.001005, 173.3967, 354.863
82981, 549, L, Yes, None, 1.870782, 174.174, 352.0942
85206, 763, a, Yes, None, 358.5124, 188.0936, 2.615133
