Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
460, 460, F, Yes, None, 0.8948072, 178.887, 356.1132
2590, 583, Q, Yes, None, 0.780778, 184.194, 352.9508
4404, 381, N, Yes, None, 1.344704, 182.601, 352.1056
7000, 966, X, No, Commission, 353.5557, 238.9234, 359.4413
10014, 1977, x, No, Commission, 357.9833, 148.0177, 354.3962
11426, 1372, P, Yes, None, 354.8528, 181.1811, 358.1762
14073, 2000, X, Yes, None, 357.4135, 179.2486, 354.4086
14552, 479, G, Yes, None, 356.481, 174.3804, 352.7427
16662, 583, V, Yes, None, 357.2365, 183.7172, 351.9498
18660, 563, C, Yes, None, 352.3604, 180.7538, 355.3998
21589, 1481, x, No, Commission, 352.0054, 247.0347, 357.1073
24126, 2000, X, Yes, None, 13.56031, 143.0252, 347.0305
25564, 1438, N, Yes, None, 349.6883, 185.6611, 350.5198
27275, 1138, D, Yes, None, 354.7243, 185.0925, 351.564
28756, 617, H, Yes, None, 7.861613, 174.4799, 350.6443
30600, 453, D, Yes, None, 8.027303, 175.2127, 350.1763
32380, 225, K, Yes, None, 7.982692, 175.2398, 349.9638
34466, 303, G, Yes, None, 6.761089, 179.081, 353.945
38175, 2000, X, Yes, None, 8.893401, 180.0075, 0.4957734
38822, 647, N, Yes, None, 8.316236, 179.4354, 359.1327
40765, 589, F, Yes, None, 6.869722, 179.469, 358.7133
42753, 556, A, Yes, None, 6.45046, 180.5023, 358.437
44632, 429, x, No, Commission, 6.672517, 180.2027, 358.2607
46846, 626, D, Yes, None, 1.301872, 184.2888, 357.2318
50237, 2000, E, No, Omission, 344.588, 213.8224, 6.055052
52262, 2000, Q, No, Omission, 7.104184, 183.424, 355.5708
52651, 389, F, Yes, None, 9.062579, 179.3562, 355.8658
54643, 358, C, Yes, None, 11.29272, 174.7754, 352.4066
56624, 338, B, Yes, None, 8.29487, 178.6356, 352.7663
59602, 1309, X, No, Commission, 354.5014, 231.4923, 0.5191722
62310, 2000, A, No, Omission, 14.23613, 144.3306, 353.0421
63265, 954, a, Yes, None, 4.633618, 184.404, 1.58756
64725, 402, M, Yes, None, 359.8734, 181.547, 358.9475
66938, 604, I, Yes, None, 359.5503, 180.0806, 357.3671
68662, 319, A, Yes, None, 359.2578, 180.8047, 356.6751
71062, 703, W, Yes, None, 358.1749, 181.0355, 356.146
73085, 719, P, Yes, None, 357.5198, 179.7864, 356.7739
74835, 453, D, Yes, None, 358.9286, 179.7084, 356.5098
77501, 1107, C, Yes, None, 357.816, 180.8342, 356.5309
78855, 458, A, Yes, None, 357.5543, 181.5567, 355.6159
80650, 247, F, Yes, None, 359.8847, 180.1094, 355.9142
82851, 449, L, Yes, None, 0.5481885, 180.6413, 355.3961
84869, 458, B, Yes, None, 0.6585706, 181.9427, 354.8099
86927, 501, K, Yes, None, 358.8491, 182.8247, 351.9879
89112, 666, R, Yes, None, 358.1075, 145.4201, 352.7342
92469, 2000, F, No, Omission, 347.6328, 204.1436, 356.9511
93568, 1099, b, Yes, None, 358.546, 185.4452, 354.5381
94994, 519, Y, Yes, None, 2.478944, 176.1236, 358.9028
97035, 542, H, Yes, None, 4.538846, 179.0937, 355.3487
98948, 445, V, Yes, None, 5.681887, 179.0174, 354.8333
101085, 565, I, Yes, None, 5.367883, 180.7944, 356.3828
103080, 549, T, Yes, None, 3.112131, 181.2669, 355.7767
105197, 652, X, No, Commission, 0.9826537, 179.4311, 356.8328
108582, 2000, S, No, Omission, 358.404, 165.0338, 1.772747
109135, 553, M, Yes, None, 359.959, 169.5767, 0.3377167
112615, 2000, U, No, Omission, 5.434581, 201.6879, 359.4142
114627, 2000, x, Yes, None, 13.06043, 157.4416, 353.0237
116623, 1996, K, Yes, None, 5.897347, 182.193, 351.0221
118648, 2000, R, No, Omission, 3.650615, 188.7646, 343.8837
119214, 566, Z, Yes, None, 3.805471, 187.1964, 344.6498
122669, 2000, X, Yes, None, 9.124424, 185.3895, 355.9307
124671, 2000, x, Yes, None, 3.768461, 178.9936, 357.8565
126675, 2000, X, Yes, None, 1.268624, 182.8179, 353.0587
127999, 1323, W, Yes, None, 2.539079, 184.3489, 352.2201
130017, 1329, A, Yes, None, 2.079012, 178.5965, 350.0472
131520, 818, O, Yes, None, 3.298545, 178.5247, 350.2512
134724, 2000, X, Yes, None, 7.509367, 183.294, 355.4748
135418, 694, C, Yes, None, 5.096002, 180.2922, 355.7897
138738, 2000, E, No, Omission, 4.471014, 175.803, 1.157401
139480, 742, O, Yes, None, 4.071445, 177.7717, 357.5515
141904, 1147, T, Yes, None, 5.186294, 174.6686, 357.283
144775, 2000, x, Yes, None, 6.730344, 175.0667, 353.235
145271, 496, Q, Yes, None, 6.507716, 178.593, 353.0771
148815, 2000, X, Yes, None, 8.859921, 177.82, 353.0101
150819, 2000, a, No, Omission, 9.663784, 169.4967, 354.4434
152824, 2000, Q, No, Omission, 5.650774, 183.9099, 352.8874
153338, 514, S, Yes, None, 6.646516, 179.0715, 352.6914
155255, 430, D, Yes, None, 6.698022, 178.0755, 352.2385
157178, 347, x, No, Commission, 7.365593, 177.6864, 351.6445
160841, 2000, X, Yes, None, 2.824416, 181.0417, 352.205
162846, 2000, Y, No, Omission, 358.1812, 179.269, 358.507
163570, 724, L, Yes, None, 4.930151, 175.523, 356.936
165428, 561, F, Yes, None, 4.795918, 176.8669, 355.0027
167305, 435, D, Yes, None, 4.745658, 176.6163, 354.8358
169326, 432, I, Yes, None, 4.82818, 176.6568, 354.4474
171286, 381, x, No, Commission, 5.112899, 176.0698, 354.3802
173360, 435, J, Yes, None, 5.025301, 176.2254, 354.0904
175352, 420, D, Yes, None, 5.067808, 176.2316, 354.1648
177439, 501, a, Yes, None, 5.014551, 175.9183, 354.2539
179562, 604, L, Yes, None, 5.031885, 176.0529, 354.1548
181694, 735, b, Yes, None, 3.910613, 178.1212, 354.4539
183425, 449, I, Yes, None, 5.733843, 177.6671, 354.1871
186998, 2000, x, Yes, None, 6.780234, 177.1761, 354.1196
187378, 380, O, Yes, None, 6.889913, 177.2143, 354.0611
189084, 73, X, No, Commission, 6.73354, 177.0594, 354.1865
191479, 467, F, Yes, None, 6.834165, 177.3169, 353.9322
195035, 2000, x, Yes, None, 7.066569, 177.5639, 353.5531
195371, 335, X, No, Commission, 6.978945, 177.6306, 353.658
199044, 2000, x, Yes, None, 7.525578, 144.4438, 0.5391059
201048, 2000, b, No, Omission, 358.5272, 203.0187, 357.4727
203055, 2000, X, Yes, None, 2.891395, 220.637, 354.7826
204347, 1292, M, Yes, None, 3.463704, 187.5013, 351.2803
205980, 923, N, Yes, None, 1.593441, 189.469, 349.2673
207743, 672, S, Yes, None, 7.016872, 183.1248, 355.7171
211092, 2000, x, Yes, None, 5.038299, 180.0123, 358.5647
211812, 719, S, Yes, None, 7.489993, 180.1471, 359.0753
215113, 2000, K, No, Omission, 27.68161, 138.5185, 351.1772
216205, 1091, G, Yes, None, 4.932782, 180.4782, 356.4114
217495, 381, K, Yes, None, 1.187727, 181.0182, 355.8741
219580, 447, L, Yes, None, 5.44734, 180.3419, 351.3587
221574, 435, S, Yes, None, 4.250347, 180.1728, 348.6711
223841, 686, A, Yes, None, 4.58675, 180.1985, 348.7495
227201, 2000, b, No, Omission, 1.053789, 178.7702, 357.563
229218, 2000, X, Yes, None, 1.618462, 176.0759, 356.0709
230176, 957, E, Yes, None, 3.65787, 150.0856, 353.4722
233254, 2000, X, Yes, None, 3.770147, 175.9365, 354.7488
233793, 539, P, Yes, None, 3.818465, 174.662, 355.8204
235922, 646, Q, Yes, None, 5.034977, 170.2217, 352.8982
237792, 499, E, Yes, None, 4.294338, 169.8096, 352.9124
241312, 2000, x, Yes, None, 3.840222, 169.9157, 352.7541
241854, 541, P, Yes, None, 3.867184, 169.9462, 352.7823
243947, 628, J, Yes, None, 3.843966, 169.9933, 352.637
245982, 660, U, Yes, None, 3.963375, 170.3201, 352.4567
248017, 687, a, Yes, None, 2.725388, 184.4649, 356.2871
251264, 1920, I, Yes, None, 8.380353, 155.0937, 352.2905
253349, 2000, G, No, Omission, 7.620737, 184.0226, 351.7516
255365, 2000, x, Yes, None, 6.35634, 173.2225, 355.1426
257380, 2000, T, No, Omission, 347.8349, 165.2355, 1.869525
259387, 2000, x, Yes, None, 358.1055, 176.1937, 358.7479
260353, 965, S, Yes, None, 359.2088, 176.6869, 356.5831
261979, 572, b, Yes, None, 1.336386, 179.8771, 354.3323
265444, 2000, x, Yes, None, 5.565958, 185.57, 355.2632
266216, 771, W, Yes, None, 3.094279, 174.7122, 358.3494
267966, 515, T, Yes, None, 4.831296, 182.0819, 2.630344
270032, 575, U, Yes, None, 357.285, 181.941, 353.9568
272367, 891, J, Yes, None, 359.1984, 184.9037, 358.1203
275511, 2000, x, Yes, None, 1.153391, 179.1298, 356.1837
277528, 2000, X, Yes, None, 1.776051, 183.59, 356.3922
278314, 786, C, Yes, None, 3.53214, 183.4341, 356.9769
281203, 1661, x, No, Commission, 356.7037, 230.2298, 354.3638
282888, 1330, X, No, Commission, 3.147242, 143.0638, 354.747
285591, 2000, Z, No, Omission, 22.89273, 137.4111, 356.1273
287150, 1558, O, Yes, None, 359.6224, 182.713, 357.7887
288487, 890, K, Yes, None, 358.9561, 178.6148, 359.5167
291617, 2000, X, Yes, None, 357.8752, 180.0339, 352.3553
292427, 810, P, Yes, None, 2.133506, 182.8099, 359.098
295495, 1858, O, Yes, None, 2.368141, 179.0549, 356.2154
296496, 840, P, Yes, None, 358.1358, 175.3657, 359.2971
298202, 532, J, Yes, None, 2.500758, 182.7097, 358.9478
301703, 2000, C, No, Omission, 5.504807, 177.4683, 351.3558
303709, 2000, X, Yes, None, 5.532257, 178.7458, 357.7695
304633, 924, S, Yes, None, 6.539883, 185.1856, 356.8233
306835, 1118, J, Yes, None, 9.659252, 186.9831, 353.7197
309741, 2000, X, Yes, None, 3.04994, 174.4903, 356.3541
310249, 507, R, Yes, None, 3.112149, 178.5011, 357.6011
313754, 2000, X, Yes, None, 6.498625, 183.8523, 6.12304
314415, 660, Y, Yes, None, 6.784903, 183.4695, 6.67038
316454, 687, U, Yes, None, 8.500075, 186.7583, 6.059412
318234, 442, E, Yes, None, 9.34278, 178.4921, 8.541146
320344, 539, L, Yes, None, 9.789285, 180.6269, 9.210278
