Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
1133, 1133, W, Yes, None, 356.7846, 184.1811, 350.8386
2666, 654, R, Yes, None, 357.8091, 179.7468, 355.0818
4963, 947, V, Yes, None, 356.7138, 177.35, 354.8446
8021, 2000, X, Yes, None, 358.6115, 178.798, 356.8221
8605, 583, W, Yes, None, 359.3322, 178.085, 357.4916
10805, 767, P, Yes, None, 359.7843, 176.5773, 357.4385
14053, 2000, X, Yes, None, 356.6497, 184.3657, 8.473161
14805, 752, T, Yes, None, 2.231469, 188.0266, 356.9008
16754, 696, D, Yes, None, 354.3049, 168.1145, 357.3297
20062, 2000, x, Yes, None, 357.91, 179.3406, 355.5179
22080, 2000, X, Yes, None, 357.8226, 178.8723, 356.0594
22644, 563, T, Yes, None, 353.9997, 178.6906, 355.2283
24616, 516, N, Yes, None, 354.9329, 184.969, 354.302
27068, 950, a, Yes, None, 357.0242, 208.8943, 355.2289
28867, 738, J, Yes, None, 356.5676, 177.4137, 353.104
30922, 788, T, Yes, None, 356.3355, 168.0041, 352.7753
34141, 2000, X, Yes, None, 357.8799, 174.5824, 353.578
34541, 399, x, No, Commission, 357.7906, 174.556, 353.6361
38160, 2000, X, Yes, None, 358.5389, 179.5191, 354.3965
39110, 950, R, Yes, None, 358.4092, 179.3911, 354.5427
41043, 871, T, Yes, None, 358.5241, 173.7406, 355.0546
44192, 2000, x, Yes, None, 10.9955, 212.3017, 358.892
46209, 2000, X, Yes, None, 356.7986, 219.6833, 352.761
48226, 2000, H, No, Omission, 358.5714, 163.6702, 351.0699
50237, 2000, x, Yes, None, 358.7789, 182.261, 354.0626
50259, 22, X, No, Commission, 358.7301, 182.3098, 354.0712
54244, 2000, x, Yes, None, 349.5055, 197.296, 354.7998
54859, 614, A, Yes, None, 356.4458, 174.3778, 352.7418
56913, 668, M, Yes, None, 356.8082, 174.1384, 353.0766
59113, 856, Y, Yes, None, 357.1144, 174.9642, 352.9936
62266, 2000, x, Yes, None, 355.7861, 180.3259, 355.4482
62916, 649, T, Yes, None, 353.1469, 177.5257, 356.3774
65017, 749, D, Yes, None, 355.795, 177.1731, 353.9521
68290, 2000, x, Yes, None, 356.1104, 176.7587, 353.5966
68790, 499, N, Yes, None, 356.1253, 176.6783, 353.6282
72325, 2000, x, Yes, None, 355.9734, 176.5214, 353.8762
74344, 2000, X, Yes, None, 31.17491, 200.1024, 351.4654
76127, 1783, V, Yes, None, 357.5885, 177.2082, 355.9124
78360, 2000, L, No, Omission, 9.830951, 180.9381, 355.1844
79724, 1364, F, Yes, None, 356.9353, 176.5771, 356.2622
81311, 950, W, Yes, None, 351.7629, 175.7337, 356.0453
82894, 516, V, Yes, None, 357.1174, 180.7784, 357.0203
84945, 556, J, Yes, None, 359.7167, 177.0484, 353.118
86961, 566, D, Yes, None, 359.2061, 177.0643, 353.6862
90396, 2000, X, Yes, None, 349.7397, 261.1382, 354.3524
92407, 2000, B, No, Omission, 358.8616, 179.9872, 356.5501
92846, 438, U, Yes, None, 359.6859, 175.7928, 354.6672
96425, 2000, M, No, Omission, 356.0258, 149.6603, 355.6205
97858, 1433, Q, Yes, None, 358.441, 182.5102, 356.0896
99726, 1290, X, No, Commission, 352.1745, 175.2016, 355.9492
101159, 718, E, Yes, None, 355.7904, 174.8889, 354.5734
103057, 614, a, Yes, None, 355.6669, 173.3765, 355.1649
106477, 2000, G, No, Omission, 46.97717, 186.5648, 354.0727
108480, 2000, F, No, Omission, 358.5254, 177.2062, 353.8119
108877, 396, S, Yes, None, 358.668, 177.8344, 352.9463
111197, 705, L, Yes, None, 357.3661, 177.1026, 359.7613
114497, 2000, x, Yes, None, 356.6183, 177.3054, 356.5104
114864, 366, Z, Yes, None, 356.7942, 177.1718, 356.5836
116975, 461, I, Yes, None, 356.6815, 177.4424, 356.2693
119945, 1419, Y, Yes, None, 356.696, 177.2485, 356.3204
121226, 694, J, Yes, None, 356.6081, 177.2598, 356.3654
123286, 743, Q, Yes, None, 356.389, 177.2811, 356.2522
126559, 2000, x, Yes, None, 357.5369, 173.96, 354.9559
128195, 1636, P, Yes, None, 359.9165, 165.8544, 353.3723
130122, 1560, M, Yes, None, 359.4603, 172.2065, 353.2406
131595, 1032, U, Yes, None, 358.0204, 179.4061, 356.3787
133227, 654, I, Yes, None, 355.0996, 176.7803, 359.3085
135728, 1151, S, Yes, None, 358.909, 174.6151, 355.3022
138580, 2000, V, No, Omission, 335.6046, 209.0006, 353.349
140592, 2000, N, No, Omission, 331.9232, 199.1237, 351.0465
142596, 2000, L, No, Omission, 343.8832, 176.3136, 350.4789
142882, 285, I, Yes, None, 355.6125, 179.9661, 350.007
146599, 2000, a, No, Omission, 40.34415, 177.2553, 5.842517
148610, 2000, E, No, Omission, 10.17406, 180.642, 0.2962414
149126, 515, Q, Yes, None, 357.5887, 178.9666, 358.5589
151409, 796, x, No, Commission, 357.7003, 176.3516, 359.7719
154639, 2000, X, Yes, None, 358.6792, 179.6129, 359.1867
155011, 372, I, Yes, None, 357.7332, 178.3531, 1.793489
157938, 1293, V, Yes, None, 14.5422, 185.2553, 12.52335
159790, 1143, N, Yes, None, 355.414, 177.2984, 353.3903
