Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
2006, 2000, X, Yes, None, 10.67834, 180.6604, 1.306942
4020, 2000, K, No, Omission, 3.641429, 160.4925, 351.7942
6033, 2000, X, Yes, None, 4.575853, 186.2512, 1.437597
7496, 1462, U, Yes, None, 6.407743, 182.7967, 354.8293
8511, 463, H, Yes, None, 5.061409, 180.6728, 359.5384
11238, 1179, X, No, Commission, 3.452334, 210.6422, 14.71506
14072, 2000, S, No, Omission, 358.1071, 145.7948, 358.2251
15666, 1594, J, Yes, None, 6.064635, 180.0048, 357.187
18099, 2000, x, Yes, None, 16.31361, 182.6219, 359.9558
18719, 619, a, Yes, None, 1.915972, 181.72, 355.2764
20839, 730, H, Yes, None, 5.346384, 179.8068, 356.9619
22471, 358, X, No, Commission, 6.696776, 177.3431, 356.5075
24529, 414, L, Yes, None, 7.384206, 176.9174, 356.1083
26791, 669, I, Yes, None, 7.430451, 176.9838, 355.6511
28641, 514, B, Yes, None, 7.60826, 177.003, 355.4682
32140, 2000, X, Yes, None, 7.63832, 177.0404, 355.2833
32909, 769, Q, Yes, None, 7.72459, 177.1451, 355.2472
36156, 2000, X, Yes, None, 7.872518, 177.2279, 355.1433
36728, 571, W, Yes, None, 7.866699, 177.2294, 355.1526
39082, 921, C, Yes, None, 7.875254, 177.4209, 355.054
40948, 772, b, Yes, None, 7.862115, 177.1689, 354.9778
42775, 585, N, Yes, None, 7.959162, 177.3551, 354.9063
46217, 2000, U, No, Omission, 345.8883, 172.1574, 357.4344
47934, 1716, X, No, Commission, 1.187087, 146.2231, 357.3863
50037, 1816, S, Yes, None, 0.7183102, 183.437, 355.9554
52265, 2000, X, Yes, None, 4.57642, 181.4138, 352.8088
52896, 630, J, Yes, None, 4.740723, 181.2624, 352.647
56301, 2000, X, Yes, None, 4.750942, 181.3568, 352.1469
56985, 684, C, Yes, None, 5.217484, 183.5671, 352.7996
59001, 689, V, Yes, None, 2.547998, 182.622, 351.919
60917, 603, M, Yes, None, 2.66161, 182.8927, 351.7358
64351, 2000, X, Yes, None, 2.494777, 181.8743, 352.2347
65164, 813, I, Yes, None, 2.559631, 181.8338, 352.1986
68385, 2000, U, No, Omission, 356.3598, 181.3248, 354.0611
68925, 539, T, Yes, None, 1.31617, 176.3673, 354.2188
72409, 2000, X, Yes, None, 7.859124, 178.9653, 359.9471
73094, 684, L, Yes, None, 10.19361, 180.2834, 355.1987
75244, 828, a, Yes, None, 9.796306, 179.9659, 359.2594
77457, 1033, G, Yes, None, 9.653801, 179.8714, 358.6989
80441, 2000, x, Yes, None, 20.62179, 144.3359, 352.8398
82094, 1652, W, Yes, None, 12.76615, 186.7954, 358.8573
84455, 2000, X, Yes, None, 12.4788, 186.0285, 359.0186
86471, 2000, x, Yes, None, 13.40152, 187.6529, 357.8046
87944, 1472, X, No, Commission, 34.55537, 248.0851, 2.205337
90507, 2000, T, No, Omission, 48.56721, 176.1465, 354.4507
92509, 2000, B, No, Omission, 12.25588, 142.2432, 357.5223
94521, 2000, R, No, Omission, 350.9615, 195.9209, 352.7978
95969, 1447, E, Yes, None, 354.4645, 179.0034, 353.7484
97343, 816, M, Yes, None, 5.542222, 172.8644, 346.3829
99200, 659, T, Yes, None, 5.172536, 174.12, 346.4645
101509, 964, Z, Yes, None, 5.515051, 184.3305, 2.098557
104570, 2000, F, No, Omission, 346.9453, 216.5505, 353.2042
106588, 2000, Z, No, Omission, 346.0872, 156.4303, 358.4856
108602, 2000, A, No, Omission, 352.7804, 178.94, 351.0939
109624, 1022, H, Yes, None, 357.4084, 182.1067, 353.1851
112532, 1906, V, Yes, None, 358.8259, 180.2882, 357.3602
114639, 2000, b, No, Omission, 4.674986, 197.4702, 337.4293
114703, 63, E, Yes, None, 4.628076, 197.3647, 337.4585
116763, 106, O, Yes, None, 3.695917, 193.1913, 339.5383
120669, 2000, L, No, Omission, 358.7546, 172.8243, 3.393338
120723, 53, E, Yes, None, 358.5788, 172.9697, 3.333066
123842, 1159, a, Yes, None, 1.366546, 177.7501, 18.79807
125494, 807, K, Yes, None, 1.09859, 179.1842, 17.3173
127910, 1211, I, Yes, None, 355.9566, 183.3014, 6.361766
129227, 514, C, Yes, None, 356.5934, 182.9488, 7.292561
131385, 654, T, Yes, None, 356.8745, 184.2744, 5.114611
133222, 479, D, Yes, None, 357.0089, 184.018, 5.418164
135157, 399, x, No, Commission, 357.0703, 184.1021, 5.339527
138777, 2000, T, No, Omission, 2.804784, 178.661, 2.947233
138877, 99, x, No, Commission, 1.2399, 178.0945, 1.869392
142787, 2000, X, Yes, None, 359.9697, 180.4404, 356.2179
144794, 2000, x, Yes, None, 0.08763646, 180.1304, 356.5227
145325, 530, M, Yes, None, 0.1132202, 180.2292, 356.3806
147395, 592, W, Yes, None, 358.3153, 184.3306, 355.4813
150815, 2000, X, Yes, None, 359.2456, 183.6321, 355.4592
152398, 1582, C, Yes, None, 359.2678, 183.6378, 355.4836
153633, 809, B, Yes, None, 359.3379, 183.6942, 355.4381
156853, 2000, I, No, Omission, 1.907981, 178.8031, 357.1483
158859, 2000, X, Yes, None, 1.619372, 180.3414, 356.5453
160861, 2000, S, No, Omission, 352.5231, 230.0048, 349.6234
162883, 2000, T, No, Omission, 338.8114, 148.1228, 358.0239
164893, 2000, Z, No, Omission, 359.1872, 218.4782, 351.6853
166488, 1595, M, Yes, None, 358.3928, 182.1145, 356.2725
167764, 854, V, Yes, None, 358.4575, 181.7914, 356.4667
169508, 595, S, Yes, None, 358.6204, 181.6778, 355.9727
171106, 189, Z, Yes, None, 358.504, 181.4497, 356.0682
173365, 443, Q, Yes, None, 358.6509, 181.6009, 355.9485
176329, 1399, U, Yes, None, 358.338, 181.0196, 13.80295
178337, 1399, B, Yes, None, 358.5204, 181.126, 14.01467
180156, 1214, K, Yes, None, 358.4992, 181.0706, 13.94025
182973, 2000, G, No, Omission, 358.4368, 213.1888, 352.2141
184973, 2000, B, No, Omission, 28.36577, 204.167, 342.1333
186984, 2000, L, No, Omission, 14.13483, 149.8441, 13.36301
188602, 1618, x, No, Commission, 347.8851, 151.2958, 359.6174
191001, 2000, N, No, Omission, 356.3262, 193.7839, 345.0597
193006, 2000, M, No, Omission, 330.7979, 171.993, 355.4166
195011, 2000, N, No, Omission, 340.468, 177.0608, 353.3072
196938, 1926, a, Yes, None, 356.7766, 180.3695, 353.8029
197620, 605, E, Yes, None, 355.2446, 181.2714, 352.2533
199524, 495, b, Yes, None, 357.6779, 176.1709, 353.3599
203051, 2000, x, Yes, None, 356.1271, 178.0599, 351.713
