Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
0, 0,  , Yes, None, 359.7633, 357.6701, 355.0654
2011, 2000, T, No, Omission, 357.3566, 217.4251, 0.002034786
4016, 2000, S, No, Omission, 3.922662, 157.8225, 350.7195
6021, 2000, R, No, Omission, 0.5887582, 174.8531, 354.0195
8025, 2000, X, Yes, None, 7.152055, 177.2177, 354.9978
9708, 1683, J, Yes, None, 359.7363, 179.0637, 354.5242
12036, 2000, x, Yes, None, 357.507, 181.4339, 353.8187
14051, 2000, X, Yes, None, 356.4297, 181.1479, 354.1309
14514, 462, W, Yes, None, 1.467122, 196.0558, 355.9275
18087, 2000, X, Yes, None, 358.8295, 178.4153, 359.91
18482, 394, B, Yes, None, 3.751098, 179.3983, 0.3521258
20471, 366, Z, Yes, None, 4.436781, 189.0906, 2.756032
22591, 466, J, Yes, None, 2.157926, 177.2511, 3.072895
24575, 433, Q, Yes, None, 2.062531, 178.9277, 3.160782
26375, 222, x, No, Commission, 2.606701, 182.4724, 3.20854
28547, 389, Y, Yes, None, 2.596932, 173.1442, 356.9332
30563, 400, M, Yes, None, 3.156634, 175.7081, 357.2484
32542, 378, A, Yes, None, 3.180517, 176.2444, 357.5081
34515, 349, T, Yes, None, 3.126652, 176.0331, 357.6093
36465, 289, b, Yes, None, 2.594445, 173.7009, 357.312
40183, 2000, X, Yes, None, 2.641592, 173.6012, 357.4653
40599, 416, P, Yes, None, 2.629313, 173.625, 357.489
42983, 798, L, Yes, None, 2.542513, 173.8102, 357.3849
44819, 623, Y, Yes, None, 2.532129, 173.8265, 357.3919
46836, 636, O, Yes, None, 2.525736, 176.1733, 356.9298
48888, 683, C, Yes, None, 2.949459, 177.7621, 358.2187
52238, 2000, X, Yes, None, 2.870071, 177.8461, 357.7245
52924, 685, b, Yes, None, 2.820138, 177.807, 357.7675
54887, 630, T, Yes, None, 1.869947, 178.4178, 357.8013
56726, 466, S, Yes, None, 2.255239, 177.6605, 357.4429
