Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 12.05404, 358.9496, 351.7079
0,  , 11.99822, 358.8615, 351.5836
0,  , 10.85794, 358.1564, 352.553
0,  , 10.83282, 358.2608, 352.7504
0,  , 10.17063, 358.4001, 353.2576
0,  , 10.66081, 358.4304, 352.5847
0,  , 11.12127, 357.8521, 352.2592
0,  , 10.79478, 357.5872, 352.5443
0,  , 10.47301, 358.1786, 352.3401
0,  , 10.61045, 358.7227, 352.5421
0,  , 10.71459, 358.6714, 352.67
0,  , 10.66781, 358.66, 353.0294
0,  , 10.50611, 359.2875, 353.0371
0,  , 10.8494, 359.0924, 352.5104
0,  , 10.61814, 358.5029, 353.1078
0,  , 10.26529, 358.819, 353.934
0,  , 10.13823, 359.3659, 354.1039
0,  , 10.26891, 359.0728, 353.9282
0,  , 10.35625, 358.9598, 354.5531
0,  , 10.58183, 359.247, 355.0507
0,  , 10.91942, 359.3174, 354.7871
0,  , 11.20378, 359.237, 354.3889
0,  , 11.64395, 359.2264, 354.1327
0,  , 11.75981, 359.3695, 353.937
0,  , 11.77972, 359.2412, 353.547
0,  , 11.83196, 358.8053, 353.2789
0,  , 11.63554, 358.8512, 353.5507
0,  , 11.46488, 359.0547, 353.7356
0,  , 11.34978, 358.9574, 353.8895
0,  , 11.17655, 358.9338, 353.9736
0,  , 11.05623, 359.2064, 353.8877
0,  , 11.1493, 179.9999, 354.0042
0,  , 11.12807, 179.8735, 354.0887
0,  , 10.94156, 180.0799, 354.1027
0,  , 10.91237, 180.2025, 354.1627
0,  , 11.15793, 180.0481, 354.2369
0,  , 11.31213, 179.8004, 354.341
0,  , 11.18858, 179.8853, 354.1762
0,  , 11.18683, 180.0573, 354.1142
0,  , 11.27573, 180.0897, 354.1833
0,  , 11.38626, 180.0371, 354.2031
0,  , 11.43866, 179.9811, 354.2426
0,  , 11.36784, 180.0196, 354.2068
0,  , 11.28635, 180.1265, 354.2591
0,  , 11.28832, 180.2367, 354.2646
0,  , 11.3372, 180.2925, 354.2774
0,  , 11.43736, 180.349, 354.308
0,  , 11.53271, 180.3234, 354.3025
0,  , 11.50833, 180.259, 354.2339
0,  , 11.43926, 180.271, 354.2124
0,  , 11.36034, 180.3017, 354.1817
0,  , 11.32835, 180.2985, 354.1395
0,  , 11.31784, 180.2588, 354.1409
0,  , 11.29748, 180.1945, 354.2854
0,  , 11.22693, 180.1842, 354.3582
0,  , 11.13163, 180.1877, 354.3934
0,  , 11.10338, 180.1614, 354.4411
0,  , 11.09017, 180.1234, 354.5499
0,  , 11.22089, 180.0884, 354.6504
0,  , 11.24583, 180.0489, 354.7301
0,  , 11.16741, 180.0286, 354.8434
0,  , 11.00738, 180.04, 354.9016
0,  , 10.84147, 180.0318, 355.0588
0,  , 10.73952, 180.0275, 355.1863
0,  , 10.54385, 179.9415, 355.3337
0,  , 10.3375, 179.7835, 355.4397
0,  , 10.15459, 179.67, 355.501
0,  , 9.985899, 179.6066, 355.5822
0,  , 9.670584, 179.4885, 355.778
0,  , 9.395259, 179.3446, 355.9691
0,  , 9.17035, 179.1721, 356.0749
0,  , 9.005302, 179.045, 356.1709
0,  , 8.877757, 178.9619, 356.2382
0,  , 8.639707, 178.823, 356.4299
0,  , 8.460106, 178.7962, 356.5088
0,  , 8.351432, 178.682, 356.5811
0,  , 8.267477, 178.5614, 356.6024
0,  , 8.005797, 178.366, 356.728
0,  , 7.761536, 178.3652, 356.8827
0,  , 7.614343, 178.4923, 356.8421
0,  , 7.641231, 178.5518, 356.9052
0,  , 7.698524, 178.5781, 357.0551
0,  , 7.653767, 178.5399, 357.1897
0,  , 7.508813, 178.4174, 357.3467
0,  , 7.36062, 178.4156, 357.3589
0,  , 6.829589, 178.513, 357.5675
0,  , 6.952666, 178.5883, 357.2444
0,  , 7.319429, 178.4972, 357.1613
0,  , 7.156665, 178.5105, 357.8062
0,  , 7.185543, 178.6056, 357.7308
0,  , 7.442032, 178.6604, 357.4781
0,  , 7.708736, 178.7274, 357.3174
0,  , 7.930842, 178.8376, 357.2324
0,  , 7.765449, 178.9659, 357.2348
0,  , 7.672994, 178.9992, 357.0194
0,  , 7.557735, 178.9964, 357.0863
0,  , 7.518232, 178.9781, 357.0856
0,  , 7.472653, 178.9312, 357.0577
0,  , 7.474049, 178.8902, 356.9824
0,  , 7.567558, 178.8543, 357.0375
0,  , 7.573164, 178.8568, 357.0947
0,  , 7.558923, 178.8537, 357.1192
0,  , 7.529306, 178.8561, 357.1134
0,  , 7.423543, 178.9363, 357.103
0,  , 7.372599, 178.9923, 357.0704
0,  , 7.337402, 179.0529, 357.076
0,  , 7.358596, 179.0484, 357.0683
0,  , 7.373665, 179.0019, 357.073
0,  , 7.369119, 178.9962, 357.0377
0,  , 7.336319, 178.9777, 357.0101
0,  , 7.27458, 179.0545, 357.0279
0,  , 7.259315, 179.0834, 357.057
0,  , 7.284713, 179.0618, 357.0589
0,  , 7.314724, 179.0254, 357.0642
