Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
897, 897, F, Yes, None, 5.958559, 178.1257, 352.3526
2533, 522, E, Yes, None, 5.845001, 178.4061, 352.7175
4628, 611, C, Yes, None, 6.768503, 183.0854, 358.2982
7343, 1310, A, Yes, None, 10.23738, 176.1423, 7.79306
8483, 449, D, Yes, None, 11.27692, 178.0333, 6.195716
10418, 373, K, Yes, None, 357.3624, 177.9752, 356.2658
14053, 2000, X, Yes, None, 3.941355, 181.3456, 355.2924
14969, 916, Z, Yes, None, 358.8654, 180.0219, 0.6978761
16721, 651, V, Yes, None, 0.5338355, 205.3379, 358.5796
18421, 350, a, Yes, None, 1.141232, 170.6129, 353.6721
20639, 549, V, Yes, None, 359.946, 162.4899, 355.5929
22866, 766, N, Yes, None, 7.428545, 178.295, 356.8434
24589, 483, I, Yes, None, 4.850666, 179.4147, 359.9329
26583, 476, X, No, Commission, 0.2835211, 180.193, 1.023231
28449, 326, D, Yes, None, 348.097, 171.4972, 355.6151
30406, 272, H, Yes, None, 0.6202796, 174.2812, 356.1504
32486, 346, x, No, Commission, 3.47843, 170.9969, 356.5251
34616, 461, J, Yes, None, 3.469494, 171.1167, 355.9946
36739, 583, x, No, Commission, 3.457653, 170.8516, 355.8304
38556, 389, T, Yes, None, 3.322608, 171.0948, 355.3457
40641, 469, V, Yes, None, 3.342315, 170.7748, 355.4478
42997, 810, R, Yes, None, 3.498742, 170.8313, 355.2573
44501, 313, Z, Yes, None, 3.561399, 171.0007, 355.0399
46640, 440, H, Yes, None, 3.54767, 170.8266, 355.0616
48659, 454, A, Yes, None, 3.539779, 170.7429, 355.0738
51337, 1127, K, Yes, None, 3.632359, 170.7623, 355.029
53392, 1182, b, Yes, None, 3.495014, 170.5651, 355.0064
55040, 813, V, Yes, None, 3.656339, 170.5779, 355.1719
56989, 751, A, Yes, None, 5.313124, 170.8552, 355.1765
58795, 552, P, Yes, None, 5.202847, 171.0759, 354.6153
62264, 2000, X, Yes, None, 5.220838, 170.994, 354.758
64265, 2000, x, Yes, None, 5.027851, 170.8684, 354.4958
65132, 866, J, Yes, None, 5.052426, 170.8919, 354.5733
67732, 1449, P, Yes, None, 4.975326, 170.8757, 354.5525
69021, 727, Z, Yes, None, 5.033405, 170.7974, 354.7682
72312, 2000, x, Yes, None, 5.013934, 170.7846, 354.6599
74322, 2000, X, Yes, None, 5.054454, 170.7719, 354.6661
75575, 1252, R, Yes, None, 4.801301, 171.0019, 354.252
78328, 2000, X, Yes, None, 5.872244, 171.2636, 354.6712
78861, 532, T, Yes, None, 5.671415, 170.6103, 354.3392
80764, 433, A, Yes, None, 6.118425, 170.9223, 355.0713
82964, 623, M, Yes, None, 5.881095, 170.9171, 355.265
86348, 2000, X, Yes, None, 6.060247, 171.039, 354.9377
88364, 2000, x, Yes, None, 5.908682, 170.7722, 354.9714
88926, 562, J, Yes, None, 5.847291, 170.785, 354.8199
91664, 1289, A, Yes, None, 6.031847, 170.8156, 354.8893
94381, 2000, M, No, Omission, 48.39252, 188.7171, 359.7951
96382, 2000, Q, No, Omission, 0.9907535, 179.2634, 351.7631
96832, 450, C, Yes, None, 7.943309, 187.1709, 355.7409
100394, 2000, x, Yes, None, 1.927994, 183.5342, 355.2733
100894, 499, D, Yes, None, 1.474057, 181.7682, 353.9976
102876, 465, R, Yes, None, 3.229124, 180.1133, 357.0923
105380, 950, K, Yes, None, 1.946852, 184.752, 355.3338
107081, 640, T, Yes, None, 2.102713, 183.6067, 354.498
110449, 2000, X, Yes, None, 4.002774, 181.6004, 354.4197
111396, 947, G, Yes, None, 4.181844, 181.497, 354.2113
114459, 2000, X, Yes, None, 5.040092, 180.9041, 354.4517
115249, 789, A, Yes, None, 4.950086, 180.8694, 354.4924
117299, 834, K, Yes, None, 4.967842, 180.93, 354.4761
120467, 2000, x, Yes, None, 5.181988, 181.0265, 354.4502
121067, 600, B, Yes, None, 5.24501, 181.0694, 354.4247
123184, 705, x, No, Commission, 5.248462, 180.9259, 354.5364
126126, 1630, M, Yes, None, 7.274311, 182.3699, 353.3583
128507, 2000, J, No, Omission, 10.93264, 146.4448, 344.2442
130512, 2000, A, No, Omission, 8.113524, 181.2209, 7.108926
130929, 416, U, Yes, None, 8.198452, 175.9716, 3.564508
132878, 365, J, Yes, None, 10.46323, 175.9214, 356.6192
134880, 351, Z, Yes, None, 10.3581, 174.9635, 356.3117
136930, 382, V, Yes, None, 10.53346, 175.0392, 356.3237
139046, 487, L, Yes, None, 10.55938, 175.0935, 356.2847
141009, 445, O, Yes, None, 10.70512, 175.2956, 356.4494
142944, 378, N, Yes, None, 10.84673, 175.3008, 356.3667
145001, 432, D, Yes, None, 10.85933, 175.223, 356.3371
147268, 689, S, Yes, None, 10.9127, 175.2132, 356.4648
149130, 545, Z, Yes, None, 10.93574, 175.296, 356.4743
151214, 628, b, Yes, None, 10.97308, 175.4138, 356.2938
153463, 871, C, Yes, None, 11.03994, 175.434, 356.3021
155126, 529, Z, Yes, None, 11.06031, 175.6152, 356.2699
158602, 2000, x, Yes, None, 11.15738, 175.7167, 356.3343
159102, 500, B, Yes, None, 11.22877, 175.67, 356.3634
161569, 950, K, Yes, None, 11.2432, 175.6946, 355.9974
163152, 522, E, Yes, None, 11.28017, 175.7571, 356.2606
166637, 2000, x, Yes, None, 11.27995, 175.7783, 356.2827
167137, 500, Y, Yes, None, 11.28732, 175.7351, 356.223
169202, 547, a, Yes, None, 11.32197, 175.8645, 356.3456
172668, 2000, x, Yes, None, 11.31314, 175.8434, 356.3461
173154, 485, R, Yes, None, 11.35332, 175.9043, 356.299
175453, 781, J, Yes, None, 11.33706, 175.8737, 356.4146
177272, 600, N, Yes, None, 11.39645, 175.917, 356.4279
179307, 617, P, Yes, None, 11.45186, 176.0019, 356.2804
181823, 1122, D, Yes, None, 11.44791, 175.933, 356.2569
184068, 1362, O, Yes, None, 349.5161, 151.6247, 350.566
185206, 500, W, Yes, None, 5.981094, 179.0043, 357.5148
187156, 433, S, Yes, None, 8.035126, 178.426, 357.812
189137, 403, P, Yes, None, 7.948942, 178.0098, 357.8199
191518, 779, R, Yes, None, 30.4502, 195.3049, 356.4427
193341, 598, Q, Yes, None, 20.32515, 197.754, 355.4179
195345, 600, B, Yes, None, 358.7758, 181.2558, 353.2082
198757, 2000, Q, No, Omission, 5.728974, 174.898, 359.6478
199113, 356, R, Yes, None, 3.534031, 173.9609, 359.9346
201285, 522, a, Yes, None, 4.662717, 179.0055, 355.2838
203296, 529, T, Yes, None, 4.46123, 177.4132, 354.5513
205328, 560, N, Yes, None, 3.339864, 176.0433, 351.8378
207218, 433, J, Yes, None, 8.778693, 179.1944, 352.7771
209167, 371, C, Yes, None, 8.547677, 178.1685, 352.1835
211079, 278, Q, Yes, None, 8.801034, 177.9759, 352.4138
213068, 266, L, Yes, None, 8.693912, 178.0618, 352.34
215087, 283, S, Yes, None, 8.930061, 178.0661, 352.2889
217120, 305, V, Yes, None, 8.734544, 178.2725, 352.1992
220821, 2000, x, Yes, None, 8.81862, 178.2692, 352.0625
221221, 400, b, Yes, None, 8.806185, 178.2554, 352.0549
223288, 465, D, Yes, None, 8.830014, 178.3238, 351.993
225373, 539, J, Yes, None, 8.807738, 178.248, 352.0146
228839, 2000, X, Yes, None, 9.083745, 178.2968, 352.0053
229289, 450, D, Yes, None, 9.055332, 178.2297, 352.0134
231405, 548, B, Yes, None, 8.311103, 178.517, 352.1298
234203, 1336, Z, Yes, None, 8.467278, 178.4566, 352.0868
235589, 717, V, Yes, None, 8.546703, 178.5585, 351.7406
237500, 616, T, Yes, None, 8.498136, 178.5761, 351.9625
239633, 729, O, Yes, None, 8.486384, 178.6744, 351.6278
