Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
508, 508, F, Yes, None, 3.301365, 177.4827, 358.6999
2451, 425, D, Yes, None, 4.049849, 177.8228, 359.0257
4612, 573, G, Yes, None, 4.245767, 177.9019, 358.7251
8048, 2000, D, No, Omission, 5.972092, 162.2592, 1.77273
10056, 2000, C, No, Omission, 358.7556, 212.4047, 353.478
11895, 1838, Q, Yes, None, 359.9102, 177.2572, 355.2926
13010, 951, W, Yes, None, 0.1857628, 177.6313, 355.8248
15359, 1278, x, No, Commission, 311.4207, 176.1905, 0.4162156
18093, 2000, X, Yes, None, 40.72073, 180.4358, 352.4055
18400, 307, N, Yes, None, 39.29461, 180.6023, 352.5259
21610, 1503, Q, Yes, None, 359.3523, 181.5184, 353.0321
23006, 897, N, Yes, None, 356.829, 180.9236, 353.1243
24689, 576, V, Yes, None, 356.3475, 181.2634, 352.9658
27244, 1130, X, No, Commission, 353.5665, 232.2083, 345.2698
29706, 1574, R, Yes, None, 31.55753, 130.2055, 352.1547
31522, 1367, O, Yes, None, 336.0071, 147.3612, 18.01774
33046, 877, R, Yes, None, 344.9487, 189.1937, 355.252
36204, 2000, x, Yes, None, 348.2636, 202.2404, 349.1397
38102, 1898, L, Yes, None, 348.5297, 198.1586, 349.8605
38963, 740, P, Yes, None, 348.4173, 198.5814, 349.5488
41950, 1722, x, No, Commission, 344.2972, 225.5664, 348.8084
43886, 1642, P, Yes, None, 353.4361, 145.1639, 352.2596
45570, 1321, x, No, Commission, 347.5574, 144.1105, 358.1221
48272, 2000, B, No, Omission, 9.902143, 207.2097, 356.1969
49986, 1713, P, Yes, None, 355.0567, 182.1565, 354.5122
51334, 1039, W, Yes, None, 350.9345, 181.4932, 358.0481
54094, 1796, X, No, Commission, 351.8745, 137.8195, 358.0942
56335, 2000, N, No, Omission, 349.7785, 191.7515, 347.5635
57561, 1226, X, No, Commission, 4.642169, 214.7664, 350.4382
60067, 1725, I, Yes, None, 355.6956, 184.2079, 353.7773
61751, 1400, K, Yes, None, 352.3292, 183.7352, 351.376
63808, 1436, b, Yes, None, 358.4905, 183.6849, 353.1165
66407, 2000, x, Yes, None, 350.7794, 179.0252, 354.5996
66970, 562, L, Yes, None, 350.1163, 180.0087, 354.9908
68808, 398, F, Yes, None, 350.4421, 180.2889, 354.6939
72422, 2000, X, Yes, None, 350.3008, 179.9564, 356.6362
72852, 429, a, Yes, None, 350.3171, 180.0668, 356.6656
75257, 833, R, Yes, None, 350.4701, 180.3312, 356.2022
77486, 1058, C, Yes, None, 350.5387, 180.4692, 356.0746
80445, 2000, A, No, Omission, 8.64326, 230.97, 354.8018
82454, 2000, W, No, Omission, 3.839092, 144.2616, 354.4667
84405, 1950, S, Yes, None, 352.8448, 183.9798, 355.4511
85319, 853, L, Yes, None, 352.4808, 182.4534, 355.7335
86922, 444, B, Yes, None, 352.3578, 181.9449, 355.7619
88868, 376, a, Yes, None, 352.3932, 181.8814, 355.6754
90887, 373, M, Yes, None, 352.3543, 182.166, 355.5469
94533, 2000, C, No, Omission, 336.4196, 224.8141, 350.5359
96555, 2000, E, No, Omission, 340.1044, 153.495, 358.5085
98072, 1516, J, Yes, None, 349.9113, 180.9054, 354.2651
99206, 642, N, Yes, None, 350.2327, 180.8765, 353.4841
101178, 597, D, Yes, None, 350.8297, 180.5952, 353.5481
103280, 688, O, Yes, None, 350.6712, 180.6206, 353.4166
106632, 2000, X, Yes, None, 350.6436, 180.8451, 353.3321
108193, 1561, x, No, Commission, 351.6197, 224.8682, 350.3652
110645, 2000, V, No, Omission, 358.0001, 177.9759, 355.3538
112660, 2000, x, Yes, None, 340.3959, 198.9958, 349.0034
113778, 1117, J, Yes, None, 348.2538, 186.7908, 0.9919517
